"term","Group1","Group2","null.value","estimate","conf.low","conf.high","adj.p.value","Significant","Group1_CLD","Group2_CLD"
"site_number","63","3",0,0.550016030356185,-2.38316143422027,3.48319349493264,1,"No","abc","abc"
"site_number","64","3",0,0.602164164008044,-2.33101330056841,3.5353416285845,1,"No","abc","abc"
"site_number","65","3",0,1.92914444198877,-1.00403302258769,4.86232190656522,0.919965079888083,"No","ab","abc"
"site_number","66","3",0,1.42650249877942,-1.50667496579703,4.35967996335587,0.999888862720371,"No","abc","abc"
"site_number","67","3",0,1.36794233724181,-1.30967010028208,4.0455547747657,0.999547715432022,"No","abc","abc"
"site_number","68","3",0,2.03549741898569,-0.897680045590761,4.96867488356214,0.842105325468482,"No","ab","abc"
"site_number","69","3",0,1.79379337489315,-1.1393840896833,4.7269708394696,0.974603809111745,"No","ab","abc"
"site_number","70","3",0,1.13752595077412,-1.79565151380233,4.07070341535057,0.999999964575379,"No","abc","abc"
"site_number","71","3",0,0.00220660872698286,-2.93097085584947,2.93538407330344,1,"No","abc","abc"
"site_number","72","3",0,1.57875738589066,-1.35442007868579,4.51193485046712,0.998262243928591,"No","abc","abc"
"site_number","73","3",0,1.80986209966643,-1.12331536491002,4.74303956424288,0.970339178147867,"No","ab","abc"
"site_number","74","3",0,0.242476201392773,-2.69070126318368,3.17565366596923,1,"No","abc","abc"
"site_number","75","3",0,0.847157947659926,-2.08601951691653,3.78033541223638,1,"No","abc","abc"
"site_number","76","3",0,0.17260840503667,-2.76056905953978,3.10578586961312,1,"No","abc","abc"
"site_number","77","3",0,0.847866066537138,-2.08531139803932,3.78104353111359,1,"No","abc","abc"
"site_number","8","7",0,-1.68771951956374,-4.62089698414019,1.24545794501271,0.99213595575673,"No","abc","ab"
"site_number","9","7",0,-1.21412994272358,-4.14730740730003,1.71904752185288,0.999999533770969,"No","abc","ab"
"site_number","10","7",0,-1.87107125555141,-4.80424872012787,1.06210620902504,0.948952789208176,"No","abc","ab"
"site_number","11","7",0,-1.16196623286883,-3.83957867039272,1.51564620465506,0.99999734256196,"No","abc","ab"
"site_number","12","7",0,-1.24440483457277,-4.17758229914922,1.68877263000369,0.9999988289288,"No","abc","ab"
"site_number","13","7",0,-1.05302517205281,-3.7306376095767,1.62458726547108,0.999999937400199,"No","abc","ab"
"site_number","14","7",0,0.113102996231786,-2.82007446834467,3.04628046080824,1,"No","ab","ab"
"site_number","15","7",0,-1.33949111141756,-4.27266857599402,1.59368635315889,0.999984646038777,"No","abc","ab"
"site_number","16","7",0,-1.03949779540676,-3.97267525998322,1.89367966916969,0.999999999270916,"No","abc","ab"
"site_number","17","7",0,-1.50767165083112,-4.44084911540757,1.42550581374533,0.999466661680426,"No","abc","ab"
"site_number","18","7",0,-1.66336598196356,-4.59654344654001,1.2698114826129,0.994223694499303,"No","abc","ab"
"site_number","19","7",0,-1.80405638140626,-4.58671285226809,0.978600089455576,0.934830122490779,"No","abc","ab"
"site_number","20","7",0,0.652953819297989,-2.28022364527846,3.58613128387444,1,"No","a","ab"
"site_number","21","7",0,-0.155610736486826,-3.08878820106328,2.77756672808963,1,"No","ab","ab"
