"metric","site_name","reporting_area","Ii","Z.Ii","p","p_fdr","cluster","sig_p05","sig_fdr05"
"ibr_combined","Minter Bay","13",-0.0883451099133224,-1.74771114867876,0.0805140573372098,0.576074212666866,"NS",FALSE,FALSE
"ibr_combined","Reach Island","13",0.277065470775472,1.72574934923931,0.0843925156846711,0.576074212666866,"NS",FALSE,FALSE
"ibr_combined","Shilshole Bay","10",0.29400438017348,1.68435654714375,0.0921127831551883,0.576074212666866,"NS",FALSE,FALSE
"ibr_combined","Cap Sante","7",-0.273161303294094,-1.67291276658522,0.0943444701750654,0.576074212666866,"NS",FALSE,FALSE
"ibr_combined","Salmon Bay, Commodore Park","10",0.355491046587724,1.64382287378716,0.10021279507714,0.576074212666866,"NS",FALSE,FALSE
"ibr_combined","Seattle Aquarium, Pier 59","10",0.237694292334322,1.5938870991166,0.110961324446794,0.576074212666866,"NS",FALSE,FALSE
"ibr_combined","Elliott Bay, Harbor Island, Pier 17","10",-0.0910564001332953,-1.58313648065442,0.113390360309488,0.576074212666866,"NS",FALSE,FALSE
"ibr_combined","Smith Cove, Terminal 91","10",0.453294079914082,1.57349366174831,0.115604554799092,0.576074212666866,"NS",FALSE,FALSE
"ibr_combined","Broad Spit","12",0.474388503132016,1.5535520656208,0.120291300766777,0.576074212666866,"NS",FALSE,FALSE
"ibr_combined","Mukilteo","8.2",0.0362562720888222,1.53289266003875,0.125302304679113,0.576074212666866,"NS",FALSE,FALSE
"ibr_combined","Williams Olson Park","10",-0.187950386321977,-1.51516860948909,0.129729710314702,0.576074212666866,"NS",FALSE,FALSE
"ibr_combined","Elliot Bay Myrtle Edwards","10",0.544355341097232,1.49873400731051,0.133942650679791,0.576074212666866,"NS",FALSE,FALSE
"ibr_combined","Jamestown","6",0.564770492318153,1.484248722035,0.137742948483571,0.576074212666866,"NS",FALSE,FALSE
"ibr_combined","Kopachuck State Park","13",-0.0355994770896205,-1.47532138460292,0.140126159837886,0.576074212666866,"NS",FALSE,FALSE
"ibr_combined","Suquamish Stormwater Outfall","10",0.106900893871707,1.42658993892624,0.153698125922086,0.587882899984026,"NS",FALSE,FALSE
"ibr_combined","Purdy, Burley Lagoon","13",-0.399625644140641,-1.40882381869489,0.158887270265953,0.587882899984026,"NS",FALSE,FALSE
"ibr_combined","Chimacum Creek delta","9",-0.287669059381558,-1.35672380183359,0.174868986694057,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Hood Canal Holly","12",-1.3415305869217,-1.33771298013756,0.180990018042578,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Raft Island Park","13",0.219012468135808,1.2853345645164,0.198675396649429,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Brackenwood Ln","10",0.0859376488840877,1.25425260066159,0.209750206370644,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Fidalgo Bay Aq Reserve, Weaverling Spit","7",-0.452209441605457,-1.2130230310098,0.225121015231233,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Penrose Point State Park","13",-0.0765100721982075,-1.20676932012459,0.227520994392647,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Commencement Bay, Milwaukee Waterway","11",-0.200264526327393,-1.15613198863551,0.247627173392814,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Manchester, Stormwater Outfall","10",-0.186157743083836,-1.1523175043669,0.249190626548832,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Port Angeles Yacht Club","6",-0.141339822268039,-1.12504454277395,0.260570159599464,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Skiff Point","10",0.242303979686491,1.10500977847825,0.269155352047667,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","North Camano","8.1",-0.890981853544432,-1.1040474133325,0.269572570893501,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Edmonds Ferry","9",-1.26330683007081,-1.08387698822646,0.278419343913262,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Madrona Pont","10",0.0623070593047565,1.08318946902819,0.278724333085743,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Silverdale, Dyes Inlet","10",0.358917062669526,1.05650545756346,0.290737348778372,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Locust Beach","7",-0.421410725668442,-1.01695608630926,0.309174320290055,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Browns Point Lighthouse","11",-0.0160994760650366,-1.00381153548595,0.315469463151235,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Thea Foss Waterway","11",0.00627658382667931,0.981999407690814,0.326100140013789,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","South of Skunk Island","9",0.174871006990068,0.972718402989447,0.330693276301935,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Rich Passage","10",0.0306022607828552,0.964782370970985,0.334653827608184,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Lions Park","10",0.171328809555091,0.96392602329591,0.335083015840474,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Discovery Bay","6",0.184197544147925,0.960599144833937,0.336753758841721,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Rocky Point","10",0.198871237747918,0.92634150385832,0.354268533334952,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Chuckanut, Clark's Point","7",-0.283015930862081,-0.9146843602206,0.360357357177988,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Blair Waterway Two","11",0.0691996016291524,0.914113859976093,0.360657020437746,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Kitsap St Boat Launch","10",0.209221507845599,0.910896821380493,0.362349740640536,0.595864017942215,"NS",FALSE,FALSE
"ibr_combined","Miller Creek","11",-0.346740874370492,-0.890048948543791,0.373439603491132,0.600750666485734,"NS",FALSE,FALSE
"ibr_combined","N Avenue Park","7",0.523478435277365,0.850614625971614,0.39498346205092,0.616978876740929,"NS",FALSE,FALSE
"ibr_combined","Everett Harbor","8.2",0.47754480456325,0.828328931580429,0.407484242376769,0.616978876740929,"NS",FALSE,FALSE
"ibr_combined","Commencement Bay Skookum","11",0.140924255909388,0.817152239806319,0.413841432328298,0.616978876740929,"NS",FALSE,FALSE
"ibr_combined","Penn Cove Reference","8.1",0.309190715090106,0.811850153803324,0.416877619419547,0.616978876740929,"NS",FALSE,FALSE
"ibr_combined","Salmon Beach","11",-0.0665030254540538,-0.794111091574188,0.427130761091329,0.619758359230555,"NS",FALSE,FALSE
"ibr_combined","Blair Waterway","11",0.170593902719695,0.764679470274992,0.444462433938826,0.632504232912945,"NS",FALSE,FALSE
"ibr_combined","Gig Harbor Boat Launch","11",-0.174431895987835,-0.732018910169206,0.464157025808287,0.643645483076961,"NS",FALSE,FALSE
"ibr_combined","Eagle Harbor Dr","10",0.161087247628233,0.712507851947214,0.476150350957248,0.643645483076961,"NS",FALSE,FALSE
"ibr_combined","Filucy Bay","13",0.0789377428224767,0.696991576388123,0.485808065471708,0.643645483076961,"NS",FALSE,FALSE
"ibr_combined","Des Moines Marina","11",0.0416341488068445,0.69495569371903,0.487083068274457,0.643645483076961,"NS",FALSE,FALSE
"ibr_combined","Commencement Bay, Dick Gilmur Launch","11",0.205695212315976,0.676492556777336,0.498727970196895,0.645342962497557,"NS",FALSE,FALSE
"ibr_combined","Cherry Point Aquatic Reserve, Conoco Phillips","7",-0.0322262820757873,-0.665377067376641,0.505809348984572,0.645342962497557,"NS",FALSE,FALSE
"ibr_combined","Eld Inlet","13",-0.120893188531512,-0.564439937028662,0.572454765768019,0.717994112997176,"NS",FALSE,FALSE
"ibr_combined","Meyer's Point, Henderson Inlet","13",-0.180889275602068,-0.493678656204317,0.62153314125041,0.766557540875506,"NS",FALSE,FALSE
"ibr_combined","Eastsound, Fishing Bay","7",0.0793495003225233,0.428384902484146,0.668370914606652,0.810810617719545,"NS",FALSE,FALSE
"ibr_combined","Purdy, Dexters","13",-0.456409603547064,-0.408548621641958,0.682870941943863,0.815039511352353,"NS",FALSE,FALSE
"ibr_combined","Maple Hollow Park","13",0.189096902832647,0.376797259923491,0.706324277186943,0.817861490356132,"NS",FALSE,FALSE
