"","site_number","cluster_raw_p450","cluster_raw_sod","cluster_raw_shell","cluster_raw_ci","cluster_raw_ibr_bio","cluster_raw_ibr_morph","cluster_raw_ibr_combined","cluster_raw_chlordane_index","cluster_raw_ddt_index","cluster_raw_hch_index","cluster_raw_total_metal_index","cluster_raw_pah_lmw_index","cluster_raw_pah_hmw_index","cluster_raw_pah_add_index","cluster_raw_total_pah_index","cluster_raw_pbde_index","cluster_raw_pcb_index","cluster_raw_pesticide_index","cluster_raw_total_con_index","cluster_bh_p450","cluster_bh_sod","cluster_bh_shell","cluster_bh_ci","cluster_bh_ibr_bio","cluster_bh_ibr_morph","cluster_bh_ibr_combined","cluster_bh_chlordane_index","cluster_bh_ddt_index","cluster_bh_hch_index","cluster_bh_total_metal_index","cluster_bh_pah_lmw_index","cluster_bh_pah_hmw_index","cluster_bh_pah_add_index","cluster_bh_total_pah_index","cluster_bh_pbde_index","cluster_bh_pcb_index","cluster_bh_pesticide_index","cluster_bh_total_con_index"
"35",52,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"36",37,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"37",76,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"38",28,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"39",33,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"40",51,"HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"41",11,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"42",71,"LH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"43",20,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","HH","LH","NotSig","NotSig","LH","LH","LH","LH","NotSig","NotSig","NotSig","LH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"44",55,"NotSig","HL","NotSig","NotSig","NotSig","NotSig","LH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"45",65,"NotSig","NotSig","NotSig","NotSig","LH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"46",62,"HL","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"47",7,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"48",10,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
