latitude,longitude,site_name,analyte,dry_value,unit,qualifier,class
47.50159,-122.38577,Arroyo Beach,benzo_e_pyrene,8.404660453,ng/g,D,hmw
47.50159,-122.38577,Arroyo Beach,benzo_ghi_perylene,-2.941631158,ng/g,U,hmw
47.50159,-122.38577,Arroyo Beach,benzo_k_fluoranthene,13.20732357,ng/g,D,hmw
47.50159,-122.38577,Arroyo Beach,beta_chlordane,-1.380765646,ng/g,U,chlordane
47.50159,-122.38577,Arroyo Beach,beta_hexachlorocyclohexane,-0.780432756,ng/g,U,hch
47.50159,-122.38577,Arroyo Beach,Br5DE04,-1.380765646,ng/g,U,pbde_congener
47.50159,-122.38577,Arroyo Beach,Br5DE05,-1.380765646,ng/g,U,pbde_congener
47.50159,-122.38577,Arroyo Beach,Br6DE01,-1.380765646,ng/g,U,pbde_congener
47.50159,-122.38577,Arroyo Beach,Br7DE01,-1.14063249,ng/g,U,pbde_congener
47.50159,-122.38577,Arroyo Beach,C1_benzanthracenes_chrysenes,9.605326232,ng/g,D,hmw
47.50159,-122.38577,Arroyo Beach,C1_dibenzothiophenes,-3.842130493,ng/g,U,lmw
47.50159,-122.38577,Arroyo Beach,C1_fluoranthenes_pyrenes,15.00832224,ng/g,D,hmw
47.50159,-122.38577,Arroyo Beach,C1_fluorenes,3.902163782,ng/g,D,lmw
47.50159,-122.38577,Arroyo Beach,C1_naphthalenes,-6.003328895,ng/g,U,lmw
47.50159,-122.38577,Arroyo Beach,C1_phenanthrenes_anthracenes,25.81431425,ng/g,D,lmw
47.50159,-122.38577,Arroyo Beach,C2_benzanthracenes_chrysenes,6.603661784,ng/g,D,hmw
47.50159,-122.38577,Arroyo Beach,C2_dibenzothiophenes,-3.842130493,ng/g,U,lmw
47.50159,-122.38577,Arroyo Beach,C2_fluoranthenes_pyrenes,9.004993342,ng/g,D,hmw
47.50159,-122.38577,Arroyo Beach,C2_fluorenes,4.742629827,ng/g,D,lmw
47.50159,-122.38577,Arroyo Beach,C2_naphthalenes,10.20565912,ng/g,D,lmw
47.50159,-122.38577,Arroyo Beach,C2_phenanthrenes_anthracenes,40.2223036,ng/g,"D,B",lmw
47.50159,-122.38577,Arroyo Beach,C3_benzanthracenes_chrysenes,3.181764314,ng/g,D,hmw
47.50159,-122.38577,Arroyo Beach,C3_dibenzothiophenes,-3.842130493,ng/g,U,lmw
47.50159,-122.38577,Arroyo Beach,C3_fluoranthenes_pyrenes,6.003328895,ng/g,D,hmw
47.50159,-122.38577,Arroyo Beach,C3_fluorenes,5.883262317,ng/g,D,lmw
47.50159,-122.38577,Arroyo Beach,C3_naphthalenes,13.80765646,ng/g,"D,B",lmw
