latitude,longitude,site_name,p450,sod,ci1,ci2,ci3,shell,site_number,reporting_area,km4,km5,hc4,hc5,p16,p42,plmw,phmw,pcb,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
47.30008,-122.74566,Maple Hollow Park,13508380.33,4.6215,0.0365,0.71025,0.05425,0.775,51,13,1,3,1,1,2,2,2,2,3,-1.177777778,-0.981481481,-1.177777778,-1.112345679,-0.916049383,-1.177777778,1.57037037,-1.177777778,-1.177777778,-1.177777778,-1.112345679,-0.628148148,-1.177777778,-1.177777778,-1.177777778,-0.916049383
48.018127,-122.699524,Maristone Island,4711148.333,5.722,0.033666667,0.7255,0.055666667,0.699166667,11,9,3,5,3,3,1,1,2,1,2,-1.411104879,-1.269994391,-1.411104879,-1.411104879,-1.128883904,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-1.411104879,-0.776107684,-1.411104879,-1.411104879,-1.411104879,-1.128883904
47.11795,-122.83359,Meyer's Point - Henderson Inlet,2252669.75,15.21175,0.036,0.7025,0.05625,0.78875,71,13,1,3,1,1,1,2,2,1,4,-1.338246269,-1.189552239,-1.338246269,-1.338246269,-1.040858209,-1.338246269,-1.338246269,-1.338246269,-1.338246269,-1.338246269,-1.338246269,-0.721166045,-1.338246269,-1.338246269,-1.338246269,-1.040858209
47.4436,-122.360316,Miller Creek,15899206.5,4.015375,0.0345,0.6955,0.05575,0.82125,20,11,4,2,1,1,2,2,3,3,4,-1.207395609,-1.016754197,-1.207395609,-1.207395609,-0.95320706,-1.207395609,2.668979768,-1.207395609,-1.207395609,-1.207395609,1.715772708,-0.635471373,-1.207395609,-1.207395609,-1.207395609,-0.95320706
47.3539722,-122.69175,Minter Bay,8029787,5.00975,0.03675,0.6505,0.051,0.9175,55,13,1,3,1,1,2,1,1,2,2,-1.25002551,-1.052653061,-1.25002551,-1.25002551,-0.986862245,-1.25002551,1.644770408,-1.25002551,-1.25002551,-1.25002551,1.25002551,-0.657908163,-1.25002551,-1.25002551,-1.25002551,-0.986862245
47.94968,-122.30158,Mukilteo,8713508,7.6065,0.03275,0.699,0.05075,0.79125,65,8.2,4,1,2,2,4,4,4,4,2,-1.229963973,-1.100494081,-1.229963973,-1.229963973,-1.035759135,-1.229963973,1.747843541,-1.229963973,-1.294698919,-1.229963973,1.294698919,-0.712084406,-1.229963973,-1.229963973,-1.229963973,-1.035759135
48.52108,-122.61531,N Avenue Park,6764939.25,1.446375,0.03675,0.6935,0.057,0.8225,62,7,2,4,4,4,5,5,5,6,2,-1.248163772,-1.139627792,-1.302431762,-1.248163772,-1.031091811,-1.248163772,1.845111663,-1.248163772,-1.302431762,-1.248163772,1.465235732,1.031091811,-1.248163772,-1.248163772,-1.302431762,-1.031091811
48.255358,-122.507014,North Camano,12423809,0.75175,0.03225,0.70175,0.05225,0.7675,7,8.1,2,4,4,4,1,1,1,1,1,-1.52350365,-1.333065693,-1.52350365,-1.52350365,-1.269586375,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-1.52350365,-0.825231144,-1.52350365,-1.52350365,-1.52350365,-1.269586375
48.02218,-122.728709,Oak Bay County Park,2335225.75,11.8395,0.0345,0.6845,0.056,0.77375,10,9,3,5,3,3,1,1,1,1,2,-1.346577079,-1.154208925,-1.346577079,-1.282454361,-1.090086207,-1.346577079,-1.346577079,-1.346577079,-1.346577079,-1.346577079,-1.282454361,-0.705349899,-1.346577079,-1.346577079,-1.346577079,-1.090086207
48.21423,-122.718972,Penn Cove Reference,2290809.25,12.593,0.0335,0.70375,0.0575,0.60625,3,8.1,3,5,3,3,1,1,2,1,2,-1.389857973,-1.170406714,-1.389857973,-1.316707553,-1.097256294,-1.316707553,-1.389857973,-1.389857973,-1.389857973,-1.389857973,-1.316707553,-0.731504196,-1.389857973,-1.389857973,-1.389857973,-1.097256294
