"latitude","longitude","site_name","qualifier","site","flagged","PCB101","PCB105","PCB011","PCB110","PCB118","PCB128","PCB138","PCB149","PCB151","PCB153","PCB156","PCB158","PCB017","PCB170","PCB171","PCB177","PCB018","PCB180","PCB183","PCB187","PCB191","PCB194","PCB195","PCB198","PCB199","PCB205","PCB206","PCB208","PCB209","PCB028","PCB031","PCB033","PCB044","PCB049","PCB052","PCB066","PCB070","PCB074","PCB082","PCB087","PCB095","PCB099"
47.2009,-122.58342,"Chambers Bay Park","U","Chambers Bay Park",TRUE,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA
47.2009,-122.58342,"Chambers Bay Park","D,B,LOQ","Chambers Bay Park",TRUE,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47.2009,-122.58342,"Chambers Bay Park","D,B","Chambers Bay Park",TRUE,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips","D","Cherry Point Aquatic Reserve, Conoco Phillips",FALSE,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,0.29,NA,NA,NA,NA,NA
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips","D,LOQ","Cherry Point Aquatic Reserve, Conoco Phillips",FALSE,NA,0.23,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.38,0.24,0.2,NA,NA,0.2,NA,NA,NA,NA,0.19,NA
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips","U","Cherry Point Aquatic Reserve, Conoco Phillips",TRUE,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,0
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips","D,B,LOQ","Cherry Point Aquatic Reserve, Conoco Phillips",TRUE,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips","D,B","Cherry Point Aquatic Reserve, Conoco Phillips",TRUE,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.04887,-122.7711,"Chimacum Creek delta","D","Chimacum Creek delta",FALSE,0.32,NA,NA,NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.04887,-122.7711,"Chimacum Creek delta","U","Chimacum Creek delta",TRUE,NA,0,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
