sample_id,site_number,latitude,longitude,p450,sod,shell,ci1,ci2,ci3,site_name,reporting_area,km4,km5,hc4,hc5,p16,p42,phmw,plmw,pcb,p450_outlier,sod_outlier,ci1_outlier,ci2_outlier,ci3_outlier,shell_outlier
70,19,47.61862,-122.36108,2362698,16.327,0.74,0.035,0.712,0.053,Elliot Bay Myrtle Edwards,10,4,1,2,2,5,5,6,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,19,47.61862,-122.36108,3124141,8.805,0.615,0.034,0.679,0.056,Elliot Bay Myrtle Edwards,10,4,1,2,2,5,5,6,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
72,19,47.61862,-122.36108,2002595,3.62,0.935,0.037,0.702,0.055,Elliot Bay Myrtle Edwards,10,4,1,2,2,5,5,6,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73,19,47.61862,-122.36108,2882039,16.483,0.94,0.036,0.706,0.066,Elliot Bay Myrtle Edwards,10,4,1,2,2,5,5,6,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
74,47,47.386977,-122.6367089,3561414,12.064,1.195,0.032,0.667,0.056,"Purdy, Burley Lagoon",13,1,2,1,1,2,2,2,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
75,47,47.386977,-122.6367089,4065347,13.017,0.705,0.031,0.7,0.043,"Purdy, Burley Lagoon",13,1,2,1,1,2,2,2,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,47,47.386977,-122.6367089,1243698,9.53,0.83,0.032,0.711,0.052,"Purdy, Burley Lagoon",13,1,2,1,1,2,2,2,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
77,47,47.386977,-122.6367089,6878481,5.59,0.93,0.036,0.695,0.061,"Purdy, Burley Lagoon",13,1,2,1,1,2,2,2,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,17,47.607,-122.342,2711672,51.083,0.755,0.035,0.703,0.05,"Seattle Aquarium, Pier 59",10,4,1,2,2,5,5,6,5,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
79,17,47.607,-122.342,2380702,8.733,0.905,0.036,0.698,0.051,"Seattle Aquarium, Pier 59",10,4,1,2,2,5,5,6,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
