site_name,site_number,reporting_area,pcb_group,pah_group,latitude,longitude,geo_group,p450,sod,ci_wet_volume,ci_wet_shell_weight,ci_pollution,shell_thickness,a83,a84,a85,a86,a87,a88,a91,a95,a97,a101,a103,a107,a109,a112,a113,a114,a119,a126,a128
Salmon Beach,40,5,3,5,47.29464,-122.53053,1,1904018.75,18.330875,0.335,2.1625,0.551131373,0.86375,17.86073501,4.107969052,17.86073501,8.930367505,22.02823985,-3.750754352,16.67001934,5.001005803,9.525725338,-3.036324952,5.953578337,-3.036324952,-5.120077369,26.79110251,-3.750754352,-5.060541586,-3.750754352,-3.750754352,30.95860735
"Seattle Aquarium, Pier 59",17,1,7,1,47.607,-122.342,5,3135234,23.887625,0.3635,2.385,0.466133841,0.8425,162.007874,62.85905512,142.5669291,116.6456693,155.5275591,23.32913386,174.9685039,60.26692913,97.20472441,25.27322835,71.28346457,5.637874016,31.75354331,162.007874,9.072440945,9.720472441,22.68110236,32.4015748,278.6535433
Shilshole Bay,18,4,6,4,47.671678,-122.406663,2,2862823.75,9.90675,0.323,2.725,0.551879868,0.55625,105.2399404,26.3099851,75.17138599,75.17138599,97.72280179,15.0342772,90.20566319,38.33740686,46.60625931,17.28941878,36.08226528,11.2757079,16.53770492,135.3084948,-5.412339791,6.013710879,11.2757079,19.54456036,157.8599106
"Silverdale, Dyes Inlet",35,5,5,5,47.6427936,-122.6967068,2,1652091.25,26.031,0.34425,2.295,0.410835927,0.6875,6.03158371,-3.289954751,8.224886878,8.910294118,9.595701357,3.495576923,10.2811086,6.511368778,6.854072398,3.975361991,6.648450226,-2.193303167,-3.564117647,17.135181,-3.289954751,-3.495576923,-3.289954751,-3.289954751,23.30384615
Skiff Point,24,6,1,6,47.66142,-122.49884,1,5664098.75,4.23625,0.33575,2.4325,0.405071269,0.55875,17.16646865,-4.853966997,14.20673267,8.287260726,15.39062706,-4.794772277,18.35036304,4.913161716,8.287260726,-3.906851485,-5.62349835,-3.906851485,-5.62349835,28.41346535,-4.853966997,-5.56430363,-4.853966997,-4.853966997,29.00541254
"Smith Cove, Terminal 91",15,5,8,5,47.63237,-122.37869,2,3958924,19.66125,0.35725,2.3525,0.492239969,0.74,273.1251241,104.0476663,240.6102284,273.1251241,292.6340616,36.41668322,390.1787488,97.54468719,188.5863952,35.11608739,123.5566038,14.30655412,53.97472691,383.6757696,14.95685204,22.1101291,31.86459782,57.22621648,715.3277061
Squaxin Island,38,2,2,2,47.17650485,-122.9046464,4,6368736.25,5.85875,0.348,2.16,0.470571603,0.85625,3.689949438,-2.006814607,4.207837079,3.042589888,5.308348315,-1.942078652,5.437820225,2.395230337,3.366269663,-1.618398876,-2.589438202,-1.618398876,-2.589438202,10.35775281,-1.942078652,-2.524702247,-2.006814607,3.948893258,11.65247191
Suquamish Stormwater Outfall,34,5,4,5,47.7296079,-122.5506191,2,4338555.5,5.81925,0.283,1.9875,0.286199942,1.02125,14.82148618,2.57764977,10.95501152,6.37968318,12.24383641,-2.448767281,15.46589862,4.897534562,7.088536866,-1.67547235,4.704210829,-1.67547235,-2.706532258,25.13208525,-2.448767281,-2.642091014,-2.448767281,3.157620968,27.06532258
Thea Foss Waterway,46,5,5,5,47.259189,-122.434689,1,3423037.5,18.6908,0.2932,1.864,0.363085415,0.897,29.85656064,8.437723658,25.31317097,27.26033797,27.26033797,7.788667992,41.53956262,27.26033797,29.85656064,15.57733598,27.90939364,-3.115467197,11.03394632,48.03011928,-4.867917495,-4.997728628,-4.932823062,4.997728628,77.88667992
Three Tree Point,22,5,3,5,47.44896,-122.372267,2,7417010.25,8.125125,0.34825,2.66,0.285554364,0.8125,10.60407555,-4.241630219,8.247614314,5.478772366,8.836729622,-4.182718688,11.78230616,5.537683897,5.537683897,-3.004488072,4.712922465,-3.004488072,-4.064895626,20.61903579,-4.182718688,-4.064895626,-4.241630219,-4.241630219,16.49522863
Tulalip Bay,67,3,2,3,48.0617,-122.2939,3,5544824.5,6.253833333,0.340166667,2.448333333,0.438708144,0.874166667,11.0312,-4.477369412,6.488941176,5.191152941,8.435623529,-4.41248,14.27567059,-2.855134118,5.061374118,-2.855134118,-4.41248,-2.855134118,-4.41248,18.81792941,-4.477369412,-4.347590588,-4.477369412,6.488941176,35.68917647
Tulalip Reservation,70,6,1,6,48.0697859,-122.2997764,1,3773556.5,3.182125,0.3245,2.2225,0.358794112,0.78375,6.484639831,-3.654978814,5.541419492,4.244491525,7.663665254,-3.596027542,9.43220339,-2.593855932,4.303442797,-2.593855932,-3.654978814,-2.593855932,-3.654978814,12.37976695,-3.596027542,-3.596027542,-3.654978814,4.892955508,24.17002119
