"site_name","mercuryTotal","arsenic","cadmium","copper","lead","Zinc","Sum40CBs","SumBDEs","SumCHLDs","SumDDTs","SumHCHs","SumPCBs2x17","SumPAHsHMW","SumPAHsLMW","SumPAHs","SumPAHs16","SumPAHs42_DMNcorrected"
"Seattle Aquarium, Pier 59",0.039254658,8.819875776,1.98136646,7.763975155,0.418012422,85.0931677,110.1653543,5.313858268,-1.166456693,10.36850394,2.527322835,136.0866142,2203.307087,1101.653543,3304.96063,1879.291339,3304.96063
"Shilshole Bay",0.042040816,8.027210884,1.537414966,7.959183673,0.413605442,76.8707483,90.20566319,7.517138599,4.13442623,27.06169896,-1.353084948,112.757079,1277.913562,714.1281669,2029.627422,1052.399404,1954.456036
"Silverdale, Dyes Inlet",0.039245283,9.496855346,1.86163522,7.86163522,0.468553459,82.38993711,68.54072398,4.112443439,-1.233733032,5.072013575,0.822488688,95.95701357,150.7895928,212.4762443,363.2658371,137.081448,370.1199095
"Skiff Point",0.039325843,8.820224719,1.893258427,6.235955056,0.22247191,92.69662921,21.31009901,-2.19020462,-2.19020462,2.071815182,-1.835036304,31.37320132,213.1009901,236.7788779,449.879868,213.1009901,449.879868
"Smith Cove, Terminal 91",0.032814371,8.562874251,1.77245509,7.724550898,0.55748503,110.7784431,143.0655412,19.50893744,5.3324429,33.16519364,4.682144985,175.5804369,4682.144985,2145.983118,7153.277061,4161.906653,7153.277061
"Squaxin Island",0.032356688,8.21656051,2.286624204,6.369426752,0.181528662,89.17197452,25.24702247,-1.359455056,-1.359455056,1.294719101,-1.100511236,35.60477528,77.68314607,97.10393258,174.7870787,71.20955056,174.7870787
"Suquamish, Stormwater Outfall",0.032710843,8.674698795,1.891566265,6.385542169,0.208433735,82.53012048,48.33093318,3.222062212,-0.902177419,3.222062212,-0.708853687,63.7968318,193.3237327,231.9884793,425.312212,206.2119816,425.312212
"Thea Foss Waterway",0.025465839,7.51552795,1.925465839,9.130434783,0.461490683,86.95652174,61.66028827,6.49055666,4.478484095,9.086779324,1.233205765,84.37723658,545.2067594,584.1500994,1103.394632,454.3389662,1103.394632
"Three Tree Point",0.029310345,8.448275862,1.74137931,6.034482759,0.186781609,86.20689655,37.11426441,4.35945328,1.354965209,2.827753479,-1.119319085,48.30745527,141.387674,176.7345924,312.2311133,129.6053678,312.2311133
"Tulalip Bay",0.041572327,8.867924528,1.981132075,7.547169811,0.264779874,69.81132075,33.74249412,1.752014118,-1.297788235,2.141350588,-1.10312,46.07148235,168.7124706,188.1792941,356.8917647,181.6903529,356.8917647
"Tulalip Reservation",0.031097561,7.743902439,1.835365854,5.853658537,0.201219512,68.29268293,22.99099576,1.061122881,-1.00217161,1.296927966,-0.884269068,29.47563559,117.9025424,135.5879237,253.4904661,123.7976695,253.4904661
"West Bay Park",0.031666667,8.205128205,1.852564103,6.602564103,0.202564103,78.20512821,46.56538267,8.09832742,-1.619665484,2.969386721,-1.349721237,64.78661936,202.4581855,182.212367,391.4191586,161.9665484,384.6705525
"Williams Olson Park",0.0308,8.571428571,1.662857143,10.17142857,0.349142857,86.85714286,40.36790954,1.44601467,-1.385764059,2.169022005,-1.144761614,58.44309291,156.6515892,144.601467,301.2530562,150.6265281,301.2530562
