site_name,latitude,longitude,reporting_area,site_number,sample_id,p450,PAHgroup3,PAHgroup4,PAHgroup5,PAHgroup6,Sum40CBs,SumBDEs,SumCHLDs,SumDDTs,SumHCHs
Filucy Bay,47.19483,-122.748665,13,59,174,12472187.71,1,1,0,0,41.51647184,1.364112646,-1.126875664,1.601349628,-0.948947928
Filucy Bay,47.19483,-122.748665,13,59,175,6726341.292,1,1,0,0,41.51647184,1.364112646,-1.126875664,1.601349628,-0.948947928
Filucy Bay,47.19483,-122.748665,13,59,176,13491947.47,1,1,0,0,41.51647184,1.364112646,-1.126875664,1.601349628,-0.948947928
Friday Harbor,48.5069444,-123.0194444,7,61,222,6899778.5,3,3,3,4,16.29415971,-1.378736591,-1.378736591,1.316066746,-1.190727056
Friday Harbor,48.5069444,-123.0194444,7,61,223,4285885.482,3,3,3,4,16.29415971,-1.378736591,-1.378736591,1.316066746,-1.190727056
Friday Harbor,48.5069444,-123.0194444,7,61,224,3660475.27,3,3,3,4,16.29415971,-1.378736591,-1.378736591,1.316066746,-1.190727056
Friday Harbor,48.5069444,-123.0194444,7,61,225,6465686.829,3,3,3,4,16.29415971,-1.378736591,-1.378736591,1.316066746,-1.190727056
Friday Harbor,48.5069444,-123.0194444,7,61,226,5908857.287,3,3,3,4,16.29415971,-1.378736591,-1.378736591,1.316066746,-1.190727056
Gig Harbor Boat Launch,47.33785,-122.58277,11,58,131,5582112.933,2,3,3,3,55.40913758,1.723839836,-1.231314168,2.093234086,-1.046617043
Gig Harbor Boat Launch,47.33785,-122.58277,11,58,132,2734668.648,2,3,3,3,55.40913758,1.723839836,-1.231314168,2.093234086,-1.046617043
Gig Harbor Boat Launch,47.33785,-122.58277,11,58,133,5447066.128,2,3,3,3,55.40913758,1.723839836,-1.231314168,2.093234086,-1.046617043
Gig Harbor Boat Launch,47.33785,-122.58277,11,58,134,1608895.294,2,3,3,3,55.40913758,1.723839836,-1.231314168,2.093234086,-1.046617043
Hood Canal Holly,47.5706,-122.9717,12,29,107,1692339.728,1,1,0,0,18.43963134,-1.57078341,-1.57078341,-1.57078341,-1.297603687
Hood Canal Holly,47.5706,-122.9717,12,29,106,291624.5775,1,1,0,0,18.43963134,-1.57078341,-1.57078341,-1.57078341,-1.297603687
Hood Canal Holly,47.5706,-122.9717,12,29,109,380080.3829,1,1,0,0,18.43963134,-1.57078341,-1.57078341,-1.57078341,-1.297603687
Jamestown,48.024789,-122.998135,6,2,82,2974825.251,1,1,0,0,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655
Jamestown,48.024789,-122.998135,6,2,83,4846845.298,1,1,0,0,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655
Jamestown,48.024789,-122.998135,6,2,84,2235572.381,1,1,0,0,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655
Jamestown,48.024789,-122.998135,6,2,85,3342764.583,1,1,0,0,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655
Jamestown,48.024789,-122.998135,6,2,86,2775717.403,1,1,0,0,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655
Jamestown,48.024789,-122.998135,6,2,87,2874749.561,1,1,0,0,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655
Kingston Marina,47.794695,-122.499858,10,36,166,2382760.203,2,2,1,2,36.40146214,1.690067885,-1.235049608,1.885075718,-1.040041775
Kingston Marina,47.794695,-122.499858,10,36,167,7415597.328,2,2,1,2,36.40146214,1.690067885,-1.235049608,1.885075718,-1.040041775
Kingston Marina,47.794695,-122.499858,10,36,168,4668353.64,2,2,1,2,36.40146214,1.690067885,-1.235049608,1.885075718,-1.040041775
Kingston Marina,47.794695,-122.499858,10,36,169,7376507.593,2,2,1,2,36.40146214,1.690067885,-1.235049608,1.885075718,-1.040041775
Kitsap St Boat Launch,47.54167,-122.64034,10,25,53,3525403.086,3,4,4,4,116.3306549,7.080996384,-1.163306549,7.080996384,1.315042186
Kitsap St Boat Launch,47.54167,-122.64034,10,25,54,990428.3988,3,4,4,4,116.3306549,7.080996384,-1.163306549,7.080996384,1.315042186
Kitsap St Boat Launch,47.54167,-122.64034,10,25,55,1035758.422,3,4,4,4,116.3306549,7.080996384,-1.163306549,7.080996384,1.315042186
Kitsap St Boat Launch,47.54167,-122.64034,10,25,56,5860347.517,3,4,4,4,116.3306549,7.080996384,-1.163306549,7.080996384,1.315042186
Kopachuck State Park,47.30973,-122.68868,13,52,249,7962916.9,1,1,0,0,31.71267874,1.48442326,-1.079580553,1.48442326,-0.877159199
Kopachuck State Park,47.30973,-122.68868,13,52,250,9304019.663,1,1,0,0,31.71267874,1.48442326,-1.079580553,1.48442326,-0.877159199
Kopachuck State Park,47.30973,-122.68868,13,52,251,2452740.173,1,1,0,0,31.71267874,1.48442326,-1.079580553,1.48442326,-0.877159199
Kopachuck State Park,47.30973,-122.68868,13,52,253,8335261.529,1,1,0,0,31.71267874,1.48442326,-1.079580553,1.48442326,-0.877159199
Lions Park,47.5833538,-122.6414587,10,37,299,8242276.652,2,2,1,2,58.57672322,6.515837752,-1.579597031,3.027560976,-1.316330859
Lions Park,47.5833538,-122.6414587,10,37,300,8603570.336,2,2,1,2,58.57672322,6.515837752,-1.579597031,3.027560976,-1.316330859
Lions Park,47.5833538,-122.6414587,10,37,301,2556546.506,2,2,1,2,58.57672322,6.515837752,-1.579597031,3.027560976,-1.316330859
Lions Park,47.5833538,-122.6414587,10,37,302,6090271.547,2,2,1,2,58.57672322,6.515837752,-1.579597031,3.027560976,-1.316330859
Locust Beach,48.77636877,-122.5378679,7,76,235,1911450.926,1,1,0,0,20.48069984,-1.472050301,-1.472050301,4.352148715,-1.216041553
Locust Beach,48.77636877,-122.5378679,7,76,236,2007311.21,1,1,0,0,20.48069984,-1.472050301,-1.472050301,4.352148715,-1.216041553
Locust Beach,48.77636877,-122.5378679,7,76,237,3303875.928,1,1,0,0,20.48069984,-1.472050301,-1.472050301,4.352148715,-1.216041553
Locust Beach,48.77636877,-122.5378679,7,76,238,2252563.285,1,1,0,0,20.48069984,-1.472050301,-1.472050301,4.352148715,-1.216041553
Madrona Pont,47.57995505,-122.6786,10,28,153,11889909.51,2,2,1,2,53.0332314,1.627155963,-1.265565749,2.591396534,-1.024505607
Madrona Pont,47.57995505,-122.6786,10,28,154,6650989.658,2,2,1,2,53.0332314,1.627155963,-1.265565749,2.591396534,-1.024505607
Madrona Pont,47.57995505,-122.6786,10,28,155,3417932.42,2,2,1,2,53.0332314,1.627155963,-1.265565749,2.591396534,-1.024505607
Madrona Pont,47.57995505,-122.6786,10,28,156,6111407.362,2,2,1,2,53.0332314,1.627155963,-1.265565749,2.591396534,-1.024505607
"Manchester, Stormwater Outfall",47.55622,-122.54281,10,33,261,12587429.83,2,3,2,3,41.04681746,1.983929511,-1.368227249,2.394397685,-1.162993161
"Manchester, Stormwater Outfall",47.55622,-122.54281,10,33,262,11029903.1,2,3,2,3,41.04681746,1.983929511,-1.368227249,2.394397685,-1.162993161
"Manchester, Stormwater Outfall",47.55622,-122.54281,10,33,263,4659442.442,2,3,2,3,41.04681746,1.983929511,-1.368227249,2.394397685,-1.162993161
"Manchester, Stormwater Outfall",47.55622,-122.54281,10,33,264,2585048.133,2,3,2,3,41.04681746,1.983929511,-1.368227249,2.394397685,-1.162993161
Maple Hollow Park,47.30008,-122.74566,13,51,204,1210308.55,1,1,1,1,35.98765432,1.57037037,-1.177777778,1.504938272,-0.981481481
Maple Hollow Park,47.30008,-122.74566,13,51,202,5080836.143,1,1,1,1,35.98765432,1.57037037,-1.177777778,1.504938272,-0.981481481
Maple Hollow Park,47.30008,-122.74566,13,51,203,34233996.15,1,1,1,1,35.98765432,1.57037037,-1.177777778,1.504938272,-0.981481481
Maristone Island,48.018127,-122.699524,9,11,307,2150183.216,1,1,0,0,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148
Maristone Island,48.018127,-122.699524,9,11,308,5028928.727,1,1,0,0,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148
Maristone Island,48.018127,-122.699524,9,11,309,5113634.72,1,1,0,0,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148
Maristone Island,48.018127,-122.699524,9,11,310,11969753.87,1,1,0,0,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148
Maristone Island,48.018127,-122.699524,9,11,311,1925814.333,1,1,0,0,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148
Maristone Island,48.018127,-122.699524,9,11,312,2078574.506,1,1,0,0,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,65,3127318.578,1,2,1,1,49.06902985,-1.338246269,-1.338246269,1.412593284,-1.115205224
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,66,2281891.641,1,2,1,1,49.06902985,-1.338246269,-1.338246269,1.412593284,-1.115205224
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,67,935925.8221,1,2,1,1,49.06902985,-1.338246269,-1.338246269,1.412593284,-1.115205224
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,68,2665541.551,1,2,1,1,49.06902985,-1.338246269,-1.338246269,1.412593284,-1.115205224
Miller Creek,47.4436,-122.360316,11,20,233,8815608.939,2,2,2,2,43.84752475,4.384752475,1.270942746,3.685733965,-1.016754197
Miller Creek,47.4436,-122.360316,11,20,232,30697269.95,2,2,2,2,43.84752475,4.384752475,1.270942746,3.685733965,-1.016754197
Miller Creek,47.4436,-122.360316,11,20,231,5993436.247,2,2,2,2,43.84752475,4.384752475,1.270942746,3.685733965,-1.016754197
Miller Creek,47.4436,-122.360316,11,20,234,18090510.68,2,2,2,2,43.84752475,4.384752475,1.270942746,3.685733965,-1.016754197
Minter Bay,47.3539722,-122.69175,13,55,178,5146723.322,1,1,0,1,31.57959184,2.894795918,-1.25002551,1.710561224,-1.052653061
Minter Bay,47.3539722,-122.69175,13,55,179,6537217.569,1,1,0,1,31.57959184,2.894795918,-1.25002551,1.710561224,-1.052653061
Minter Bay,47.3539722,-122.69175,13,55,180,11216181.9,1,1,0,1,31.57959184,2.894795918,-1.25002551,1.710561224,-1.052653061
Minter Bay,47.3539722,-122.69175,13,55,181,9219025.002,1,1,0,1,31.57959184,2.894795918,-1.25002551,1.710561224,-1.052653061
Mukilteo,47.94968,-122.30158,8.2,65,20,3799311.348,2,3,3,3,31.07277406,2.977807514,-1.229963973,1.942048379,-1.035759135
Mukilteo,47.94968,-122.30158,8.2,65,17,13015373,2,3,3,3,31.07277406,2.977807514,-1.229963973,1.942048379,-1.035759135
Mukilteo,47.94968,-122.30158,8.2,65,18,6552123.968,2,3,3,3,31.07277406,2.977807514,-1.229963973,1.942048379,-1.035759135
