site_name,site_number,latitude,longitude,p450,SOD,condition_factor,avg_thickness,arsenic,cadmium,copper,lead,mercuryTotal,SumBDEs,SumCHLDs,SumDDTs,SumHCHs,SumPAHs16,SumPAHsHMW,SumPCBs2x17,Zinc,acenaphthene,anthracene,benz[a]anthracene,benzo[a]pyrene,benzo[b]fluoranthene,benzo[e]pyrene,benzo[ghi]perylene,benzo[k]fluoranthene,C1-benzanthracenes/chrysenes,C1-dibenzothiophenes,C1-fluoranthenes/pyrenes,C1-fluorenes,C1-naphthalenes,C1-phenanthrenes/anthracenes,C2-benzanthracenes/chrysenes,C2-dibenzothiophenes,C2-fluoranthenes/pyrenes,C2-fluorenes,C2-naphthalenes,C2-phenanthrenes/anthracenes,C3-benzanthracenes/chrysenes,C3-dibenzothiophenes,C3-fluoranthenes/pyrenes,C3-fluorenes,C3-naphthalenes,C3-phenanthrenes/anthracenes,C4-benzanthracenes/chrysenes,C4-dibenzothiophenes,C4-fluoranthenes/pyrenes,C4-naphthalenes,C4-phenanthrenes/anthracenes,chrysene,"dibenz[a,h]anthracene",dibenzothiophene,"indeno[1,2,3-cd]pyrene",phenanthrene
Cap Sante,64,48.520971,-122.600717,3480344,133.268,0.1538,0.6,7.743902439,1.902439024,5.298780488,0.179878049,0.029634146,NA,NA,6.175430657,1.082291971,63.66423358,120.9620438,NA,81.09756098,NA,NA,4.902145985,NA,NA,NA,NA,NA,7.639708029,NA,10.18627737,NA,NA,18.46262774,12.09620438,5.793445255,10.82291971,NA,8.912992701,37.56189781,9.549635036,14.00613139,15.27941606,8.276350365,NA,50.93138686,NA,14.00613139,5.602452555,10.82291971,36.92525547,10.82291971,NA,NA,NA,19.09927007
Cap Sante,64,48.520971,-122.600717,1293754,14.371,0.1248,0.955,7.743902439,1.902439024,5.298780488,0.179878049,0.029634146,NA,NA,6.175430657,1.082291971,63.66423358,120.9620438,NA,81.09756098,NA,NA,4.902145985,NA,NA,NA,NA,NA,7.639708029,NA,10.18627737,NA,NA,18.46262774,12.09620438,5.793445255,10.82291971,NA,8.912992701,37.56189781,9.549635036,14.00613139,15.27941606,8.276350365,NA,50.93138686,NA,14.00613139,5.602452555,10.82291971,36.92525547,10.82291971,NA,NA,NA,19.09927007
Cap Sante,64,48.520971,-122.600717,4083185,4.895,0.1538,0.725,7.743902439,1.902439024,5.298780488,0.179878049,0.029634146,NA,NA,6.175430657,1.082291971,63.66423358,120.9620438,NA,81.09756098,NA,NA,4.902145985,NA,NA,NA,NA,NA,7.639708029,NA,10.18627737,NA,NA,18.46262774,12.09620438,5.793445255,10.82291971,NA,8.912992701,37.56189781,9.549635036,14.00613139,15.27941606,8.276350365,NA,50.93138686,NA,14.00613139,5.602452555,10.82291971,36.92525547,10.82291971,NA,NA,NA,19.09927007
Cap Sante,64,48.520971,-122.600717,6057021,11.947,0.1329,0.88,7.743902439,1.902439024,5.298780488,0.179878049,0.029634146,NA,NA,6.175430657,1.082291971,63.66423358,120.9620438,NA,81.09756098,NA,NA,4.902145985,NA,NA,NA,NA,NA,7.639708029,NA,10.18627737,NA,NA,18.46262774,12.09620438,5.793445255,10.82291971,NA,8.912992701,37.56189781,9.549635036,14.00613139,15.27941606,8.276350365,NA,50.93138686,NA,14.00613139,5.602452555,10.82291971,36.92525547,10.82291971,NA,NA,NA,19.09927007
Chambers Bay Park,56,47.1905742,-122.5834897,4935346,15.598,0.1616,0.885,8.081395349,1.790697674,5.372093023,0.229069767,0.029244186,NA,NA,1.651618399,NA,70.78364566,76.68228279,NA,83.72093023,NA,NA,5.426746167,NA,5.308773424,NA,NA,5.13181431,3.893100511,NA,6.488500852,NA,NA,12.38713799,2.890332198,NA,3.657155026,NA,NA,17.69591141,NA,NA,NA,3.893100511,7.668228279,11.79727428,NA,NA,NA,NA,14.15672913,10.61754685,NA,NA,NA,15.33645656
Chambers Bay Park,56,47.1905742,-122.5834897,4420012,0,0.1829,1.26,8.081395349,1.790697674,5.372093023,0.229069767,0.029244186,NA,NA,1.651618399,NA,70.78364566,76.68228279,NA,83.72093023,NA,NA,5.426746167,NA,5.308773424,NA,NA,5.13181431,3.893100511,NA,6.488500852,NA,NA,12.38713799,2.890332198,NA,3.657155026,NA,NA,17.69591141,NA,NA,NA,3.893100511,7.668228279,11.79727428,NA,NA,NA,NA,14.15672913,10.61754685,NA,NA,NA,15.33645656
Chambers Bay Park,56,47.1905742,-122.5834897,3856796,14.492,0.1084,1,8.081395349,1.790697674,5.372093023,0.229069767,0.029244186,NA,NA,1.651618399,NA,70.78364566,76.68228279,NA,83.72093023,NA,NA,5.426746167,NA,5.308773424,NA,NA,5.13181431,3.893100511,NA,6.488500852,NA,NA,12.38713799,2.890332198,NA,3.657155026,NA,NA,17.69591141,NA,NA,NA,3.893100511,7.668228279,11.79727428,NA,NA,NA,NA,14.15672913,10.61754685,NA,NA,NA,15.33645656
Chambers Bay Park,56,47.1905742,-122.5834897,4797197,8.659,0.149,1.08,8.081395349,1.790697674,5.372093023,0.229069767,0.029244186,NA,NA,1.651618399,NA,70.78364566,76.68228279,NA,83.72093023,NA,NA,5.426746167,NA,5.308773424,NA,NA,5.13181431,3.893100511,NA,6.488500852,NA,NA,12.38713799,2.890332198,NA,3.657155026,NA,NA,17.69591141,NA,NA,NA,3.893100511,7.668228279,11.79727428,NA,NA,NA,NA,14.15672913,10.61754685,NA,NA,NA,15.33645656
"Cherry Point Aquatic Reserve, Conoco Phillips",75,48.8208,-122.7101,4058856,5.642,0.1424,0.705,7.931034483,1.902298851,5.304597701,0.192528736,0.033045977,NA,NA,1.992105044,0.845135473,126.770321,150.9170488,NA,73.56321839,NA,NA,9.055022926,NA,5.312280117,4.768978741,NA,5.795214673,5.855581492,NA,10.26235932,NA,NA,19.92105044,7.847686536,NA,8.451354731,NA,9.055022926,25.35406419,6.640350146,NA,14.48803668,NA,NA,19.92105044,NA,NA,4.286044185,7.244018341,19.31738224,13.88436849,NA,NA,NA,33.20175073
"Cherry Point Aquatic Reserve, Conoco Phillips",75,48.8208,-122.7101,2991933,9.761,0.121,0.86,7.931034483,1.902298851,5.304597701,0.192528736,0.033045977,NA,NA,1.992105044,0.845135473,126.770321,150.9170488,NA,73.56321839,NA,NA,9.055022926,NA,5.312280117,4.768978741,NA,5.795214673,5.855581492,NA,10.26235932,NA,NA,19.92105044,7.847686536,NA,8.451354731,NA,9.055022926,25.35406419,6.640350146,NA,14.48803668,NA,NA,19.92105044,NA,NA,4.286044185,7.244018341,19.31738224,13.88436849,NA,NA,NA,33.20175073
