site_name,latitude,longitude,reporting_area,site_number,sample_id,p450,mercury,arsenic,cadmium,copper,lead,zinc,lmwPAH,PAH16,sumPCB,hmwPAH,sumPAH,PAHgroup,PAHgroup2
North Camano,48.255358,-122.507014,8.1,7,306,3249105.519,0.045581395,9.069767442,1.76744186,6.686046512,0.265697674,75,107.9148418,63.47931873,26.66131387,54.59221411,165.0462287,low,low
Chimacum Creek delta,48.04906,-122.7724,9,8,100,2951353.397,0.032647059,8.352941176,1.835294118,30.47058824,0.291764706,94.70588235,112.3062201,68.63157895,29.32440191,56.77703349,168.4593301,low,low
Chimacum Creek delta,48.04906,-122.7724,9,8,101,1782911.97,0.032647059,8.352941176,1.835294118,30.47058824,0.291764706,94.70588235,112.3062201,68.63157895,29.32440191,56.77703349,168.4593301,low,low
Chimacum Creek delta,48.04906,-122.7724,9,8,102,2742036.848,0.032647059,8.352941176,1.835294118,30.47058824,0.291764706,94.70588235,112.3062201,68.63157895,29.32440191,56.77703349,168.4593301,low,low
Chimacum Creek delta,48.04906,-122.7724,9,8,103,3088892.791,0.032647059,8.352941176,1.835294118,30.47058824,0.291764706,94.70588235,112.3062201,68.63157895,29.32440191,56.77703349,168.4593301,low,low
Eld Inlet,47.074603,-123.003527,13,72,186,5090880.532,0.028563218,8.850574713,1.712643678,6.206896552,0.250574713,91.95402299,96.52394366,64.34929577,42.36328638,75.0741784,171.5981221,low,low
Eld Inlet,47.074603,-123.003527,13,72,187,1009808.987,0.028563218,8.850574713,1.712643678,6.206896552,0.250574713,91.95402299,96.52394366,64.34929577,42.36328638,75.0741784,171.5981221,low,low
Eld Inlet,47.074603,-123.003527,13,72,188,16612698.02,0.028563218,8.850574713,1.712643678,6.206896552,0.250574713,91.95402299,96.52394366,64.34929577,42.36328638,75.0741784,171.5981221,low,low
Eld Inlet,47.074603,-123.003527,13,72,189,16495985.01,0.028563218,8.850574713,1.712643678,6.206896552,0.250574713,91.95402299,96.52394366,64.34929577,42.36328638,75.0741784,171.5981221,low,low
Squaxin Island,47.17650485,-122.9046464,13,38,198,9659247.354,0.032356688,8.21656051,2.286624204,6.369426752,0.181528662,89.17197452,97.10393258,71.20955056,35.60477528,77.68314607,174.7870787,low,low
Squaxin Island,47.17650485,-122.9046464,13,38,199,5609583.919,0.032356688,8.21656051,2.286624204,6.369426752,0.181528662,89.17197452,97.10393258,71.20955056,35.60477528,77.68314607,174.7870787,low,low
Squaxin Island,47.17650485,-122.9046464,13,38,200,6607121.565,0.032356688,8.21656051,2.286624204,6.369426752,0.181528662,89.17197452,97.10393258,71.20955056,35.60477528,77.68314607,174.7870787,low,low
Squaxin Island,47.17650485,-122.9046464,13,38,201,2867681.855,0.032356688,8.21656051,2.286624204,6.369426752,0.181528662,89.17197452,97.10393258,71.20955056,35.60477528,77.68314607,174.7870787,low,low
Maple Hollow Park,47.30008,-122.74566,13,51,202,5080836.143,0.039679487,9.679487179,2.237179487,5.698717949,0.159615385,89.74358974,111.2345679,71.97530864,49.07407407,64.77777778,176.6666667,low,low
Maple Hollow Park,47.30008,-122.74566,13,51,203,34233996.15,0.039679487,9.679487179,2.237179487,5.698717949,0.159615385,89.74358974,111.2345679,71.97530864,49.07407407,64.77777778,176.6666667,low,low
Maple Hollow Park,47.30008,-122.74566,13,51,204,1210308.55,0.039679487,9.679487179,2.237179487,5.698717949,0.159615385,89.74358974,111.2345679,71.97530864,49.07407407,64.77777778,176.6666667,low,low
Chambers Bay Park,47.1905742,-122.5834897,13,56,127,22777074.12,0.029244186,8.081395349,1.790697674,5.372093023,0.229069767,83.72093023,106.1754685,70.78364566,45.41950596,76.68228279,182.8577513,low,low
Chambers Bay Park,47.1905742,-122.5834897,13,56,128,3578424.227,0.029244186,8.081395349,1.790697674,5.372093023,0.229069767,83.72093023,106.1754685,70.78364566,45.41950596,76.68228279,182.8577513,low,low
Chambers Bay Park,47.1905742,-122.5834897,13,56,129,4479918.422,0.029244186,8.081395349,1.790697674,5.372093023,0.229069767,83.72093023,106.1754685,70.78364566,45.41950596,76.68228279,182.8577513,low,low
Chambers Bay Park,47.1905742,-122.5834897,13,56,130,4173684.324,0.029244186,8.081395349,1.790697674,5.372093023,0.229069767,83.72093023,106.1754685,70.78364566,45.41950596,76.68228279,182.8577513,low,low
Reach Island,47.346537,-122.82236,13,39,273,7180437.579,0.02497006,9.341317365,2.041916168,9.041916168,0.158682635,105.988024,110.9241803,81.73360656,30.35819672,81.73360656,192.6577869,low,low
Reach Island,47.346537,-122.82236,13,39,274,7550633.228,0.02497006,9.341317365,2.041916168,9.041916168,0.158682635,105.988024,110.9241803,81.73360656,30.35819672,81.73360656,192.6577869,low,low
Reach Island,47.346537,-122.82236,13,39,275,1944973.493,0.02497006,9.341317365,2.041916168,9.041916168,0.158682635,105.988024,110.9241803,81.73360656,30.35819672,81.73360656,192.6577869,low,low
Reach Island,47.346537,-122.82236,13,39,276,6208335.517,0.02497006,9.341317365,2.041916168,9.041916168,0.158682635,105.988024,110.9241803,81.73360656,30.35819672,81.73360656,192.6577869,low,low
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,65,3127318.578,0.035133333,7.8,1.986666667,5.773333333,0.204666667,75.33333333,148.6940299,66.16884328,56.50373134,52.7863806,200.7369403,low,mid
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,66,2281891.641,0.035133333,7.8,1.986666667,5.773333333,0.204666667,75.33333333,148.6940299,66.16884328,56.50373134,52.7863806,200.7369403,low,mid
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,67,935925.8221,0.035133333,7.8,1.986666667,5.773333333,0.204666667,75.33333333,148.6940299,66.16884328,56.50373134,52.7863806,200.7369403,low,mid
Meyer's Point - Henderson Inlet,47.11795,-122.83359,13,71,68,2665541.551,0.035133333,7.8,1.986666667,5.773333333,0.204666667,75.33333333,148.6940299,66.16884328,56.50373134,52.7863806,200.7369403,low,mid
Penrose Point State Park,47.2619,-122.7376,13,50,9,7519523.24,0.037452229,8.853503185,1.98089172,6.089171975,0.161783439,89.17197452,125.4241683,85.8165362,50.16966732,85.8165362,204.6394325,low,mid
Penrose Point State Park,47.2619,-122.7376,13,50,10,2798616.172,0.037452229,8.853503185,1.98089172,6.089171975,0.161783439,89.17197452,125.4241683,85.8165362,50.16966732,85.8165362,204.6394325,low,mid
Penrose Point State Park,47.2619,-122.7376,13,50,11,9112234.612,0.037452229,8.853503185,1.98089172,6.089171975,0.161783439,89.17197452,125.4241683,85.8165362,50.16966732,85.8165362,204.6394325,low,mid
Penrose Point State Park,47.2619,-122.7376,13,50,12,10820981.27,0.037452229,8.853503185,1.98089172,6.089171975,0.161783439,89.17197452,125.4241683,85.8165362,50.16966732,85.8165362,204.6394325,low,mid
"Chuckanut, Clark's Point",48.68975,-122.50434,7,74,25,4394757.107,0.035138122,7.513812155,1.602209945,9.889502762,0.238121547,87.29281768,131.9775561,80.33416459,31.55985037,74.59600998,206.5735661,low,mid
"Chuckanut, Clark's Point",48.68975,-122.50434,7,74,26,2351039.245,0.035138122,7.513812155,1.602209945,9.889502762,0.238121547,87.29281768,131.9775561,80.33416459,31.55985037,74.59600998,206.5735661,low,mid
"Chuckanut, Clark's Point",48.68975,-122.50434,7,74,27,3154062.109,0.035138122,7.513812155,1.602209945,9.889502762,0.238121547,87.29281768,131.9775561,80.33416459,31.55985037,74.59600998,206.5735661,low,mid
"Chuckanut, Clark's Point",48.68975,-122.50434,7,74,28,1063513.081,0.035138122,7.513812155,1.602209945,9.889502762,0.238121547,87.29281768,131.9775561,80.33416459,31.55985037,74.59600998,206.5735661,low,mid
"Purdy, Burley Lagoon",47.386977,-122.6367089,13,47,74,3561413.583,0.035906433,9.005847953,1.842105263,6.549707602,0.246783626,90.64327485,129.2528008,86.16853385,59.08699464,86.16853385,215.4213346,low,mid
"Purdy, Burley Lagoon",47.386977,-122.6367089,13,47,75,4065347.042,0.035906433,9.005847953,1.842105263,6.549707602,0.246783626,90.64327485,129.2528008,86.16853385,59.08699464,86.16853385,215.4213346,low,mid
