site_name,analyte,dryvalue
Tulalip Bay,SumDDTs,2.141350588
Edmonds Marina,SumDDTs,3.572808864
Edmonds Ferry,SumDDTs,2.280042056
Rich Passage,SumDDTs,3.092255226
Meyer's Point - Henderson Inlet,SumDDTs,1.412593284
"Purdy, Burley Lagoon",SumDDTs,2.031115441
"Comm Bay, Dick Gilmur Launch",SumDDTs,24.74033019
"Comm Bay, Milwaukee Waterway",SumDDTs,8.076549865
"Fidalgo Bay Aq Reserve, Weaverling Spit",SumDDTs,12.08334362
Shilshole Bay,SumDDTs,27.06169896
Elliot Bay Myrtle Edwards,SumDDTs,22.81479655
Maristone Island,SumDDTs,1.340549635
Penrose Point State Park,SumDDTs,1.386267123
Maple Hollow Park,SumDDTs,1.504938272
Kopachuck State Park,SumDDTs,1.48442326
Raft Island Park,SumDDTs,1.407130125
Miller Creek,SumDDTs,3.685733965
Des Moines Marina,SumDDTs,20.21345002
Browns Point Lighthouse,SumDDTs,8.190953307
Minter Bay,SumDDTs,1.710561224
Chambers Bay Park,SumDDTs,1.651618399
Purdy - Dexters,SumDDTs,1.663671715
Gig Harbor Boat Launch,SumDDTs,2.093234086
Filucy Bay,SumDDTs,1.601349628
Chimacum Creek delta,SumDDTs,-1.559808612
S of Skunk Island,SumDDTs,-1.561507644
Drayton Harbor,SumDDTs,-2.977107623
Hood Canal Holly,SumDDTs,-1.57078341
Broad Spit,SumDDTs,-1.272607482
Penn Cove Baseline 2,SumDDTs,-1.006530612
Jamestown,SumDDTs,-1.392056221
Oak Bay County Park,SumDDTs,-1.346577079
Blair Waterway,SumHCHs,0.880114998
Kitsap St Boat Launch,SumHCHs,1.315042186
"Elliott Bay, Harbor Island, Pier 17",SumHCHs,1.027018122
Rocky Point,SumHCHs,0.730635697
N Avenue Park,SumHCHs,1.031091811
Cap Sante,SumHCHs,1.082291971
Blair Waterway #2,SumHCHs,0.977520502
"Silverdale, Dyes Inlet",SumHCHs,0.822488688
