site_name,reporting_area,latitude,longitude,p450,p450_z,p450_ai,sod,sod_z,sod_ai,shell,shell_z,shell_ai,ci1,ci1_z,ci1_ai,ci2,ci2_z,ci2_ai,ci3,ci3_z,ci3_ai
"Seattle Aquarium, Pier 59",10,47.607,-122.342,3037049.5,-0.787114809,0.231315598,15.6175,1.72944526,0.650334656,0.8425,0.549770029,2.233207885,36.3475,1.044005335,1.179246996,0.704,0.585625086,0.009532553,0.05075,-0.691442095,1.53933439
Shilshole Bay,10,47.671678,-122.406663,2710238.75,-0.888417873,0.130012533,9.90675,0.501507207,0.577603396,0.55625,-2.156074445,0.472636589,32.2925,-0.600653846,0.465412185,0.7285,1.519815268,0.943722734,0.053,-0.178330632,1.026222927
"Silverdale, Dyes Inlet",10,47.6427936,-122.6967068,1419996,-1.288360483,0.269930076,28.254,4.446573343,3.367462739,0.6875,-0.915403398,0.768034458,34.43,0.26629042,0.401532081,0.698,0.356843817,0.219248716,0.05875,1.132954219,0.285061924
Skiff Point,10,47.66142,-122.49884,5612257.75,0.011134596,1.029565003,4.779,-0.6010729,1.680183503,0.55875,-2.132442616,0.44900476,33.5975,-0.071361557,0.063880104,0.70725,0.709548274,0.13345574,0.053,-0.178330632,1.026222927
"Smith Cove, Terminal 91",10,47.63237,-122.37869,3958466.25,-0.501498928,0.516931478,7.5955,0.004537138,1.074573465,0.74,-0.419134979,1.264302877,35.735,0.795582709,0.93082437,0.701,0.471234452,0.104858082,0.06275,2.045152376,1.197260081
South of Skunk Island,9,48.02667,-122.75076,4437927.25,-0.352878149,0.665552258,10.11125,0.545479248,0.533631355,0.78625,0.018053866,1.701491722,33.92,0.05944056,0.194682221,0.71075,0.843004014,0.26691148,0.0585,1.075941834,0.228049539
Squaxin Island,13,47.17650485,-122.9046464,6185908.75,0.188951893,1.207382299,6.574125,-0.215081166,1.294191769,0.85625,0.679745091,2.363182947,34.795,0.414330026,0.549571687,0.68175,-0.262772119,0.838864653,0.055,0.277768447,0.570123848
Suquamish Stormwater Outfall,10,47.7296079,-122.5506191,3575218.5,-0.620296035,0.398134372,5.81925,-0.377396052,1.456506655,1.02125,2.239445836,3.922883692,28.27,-2.232131418,2.096889757,0.665,-0.901453162,1.477545695,0.0595,1.303991373,0.456099079
Thea Foss Waterway,11,47.259189,-122.434689,9969514.6,1.361773981,2.380204388,11.7874,0.905888716,0.173221888,0.897,1.064943912,2.748381767,29.332,-1.801397004,1.666155343,0.6148,-2.815589778,3.391682311,0.0448,-2.048336854,2.896229149
Three Tree Point,11,47.44896,-122.372267,7868514.75,0.710517183,1.72894759,7.91575,0.073397999,1.005712604,0.8125,0.266188076,1.949625931,34.825,0.426497664,0.561739326,0.7265,1.443554845,0.867462311,0.0605,1.532040913,0.684148618
Tulalip Bay,8.2,48.0617,-122.2939,5438866.5,-0.042612305,0.975818102,6.253833333,-0.283950986,1.363061589,0.874166667,0.849106539,2.532544395,34.03666667,0.106759157,0.242000818,0.709333333,0.788986201,0.212893668,0.054666667,0.20175201,0.646140285
Tulalip Reservation,8.2,48.0697859,-122.2997764,5097254.75,-0.148503304,0.869927102,3.952125,-0.778869385,1.857979988,0.78375,-0.005577963,1.677859892,32.4325,-0.543871532,0.40862987,0.68925,0.023204467,0.552888066,0.049,-1.090528789,1.938421084
West Bay Park,13,47.052362,-122.910912,8508351.5,0.908850388,1.927280794,4.628,-0.633541253,1.712651856,0.7725,-0.111921196,1.57151666,32.975,-0.323840063,0.188598402,0.68675,-0.072121062,0.648213595,0.05625,0.562830371,0.285061924
Williams Olson Park,10,47.66586,-122.56698,3067078.5,-0.777806579,0.240623828,6.457625,-0.240131253,1.319241856,0.67125,-1.06901029,0.614427566,33.9625,0.076678048,0.211919709,0.6875,-0.043523403,0.619615937,0.05125,-0.577417325,1.42530962
