site_number,site_name,reporting_area,latitude,longitude,p450,sod,shell,weight_initial,weight_change,weight_final,length,height,width,ci1,ci2,ci3,z_ci1,z_ci2,z_ci3,ai_z_ci1,ai_z_ci2,ai_z_ci3
50,Penrose Point State Park,13,47.2619,-122.7376,7562838.75,4.423,0.8575,14.34575,9.71125,4.6345,54.695,23.3125,30.18,26.3225,0.6765,0.06475,-3.022013972,-0.46295573,2.501251455,2.88677231,1.039048263,1.65335916
43,Point Defiance Ferry,11,47.3062,-122.5145,2116286.75,6.454,0.83875,13.99725,10.00425,3.993,56.78,18.76,25.5425,36.8175,0.71425,0.05475,1.234631676,0.976459754,0.220756062,1.369873337,0.400367221,0.627136233
1,Port Angeles Yacht Club,6,48.12823,-123.45715,5668182.167,7.99825,0.800833333,14.85966667,10.24833333,4.611666667,55.43,21.26833333,25.13166667,34.22833333,0.688666667,0.059166667,0.184496846,0.000961856,1.227974936,0.319738508,0.575130677,0.380082641
47,"Purdy, Burley Lagoon",13,47.386977,-122.6367089,3937235,10.05025,0.915,16.55525,11.41875,5.1365,59.435,20.9775,27.2175,32.9,0.69325,0.053,-0.35425916,0.175725313,-0.178330632,0.219017499,0.400367221,1.026222927
57,"Purdy, Dexters",13,47.38566,-122.627255,4578794.25,1.760875,0.84375,14.4615,9.848,4.61375,58.315,19.28,25.7625,33.7725,0.679,0.049,-0.000383664,-0.367630201,-1.090528789,0.134857997,0.943722734,1.938421084
53,Raft Island Park,13,47.32598,-122.66724,4185580.75,3.778125,0.65375,13.412,9.7555,3.65675,56.79,18.835,25.4425,35.5425,0.7245,0.0525,0.717507026,1.367294422,-0.292355401,0.852748687,0.791201888,1.140247696
39,Reach Island,13,47.346537,-122.82236,5721095,4.58375,0.77,14.13325,9.48275,4.6505,55.62,20.34,25.4925,32.295,0.6665,0.054,-0.599639876,-0.844257844,0.049718908,0.464398215,1.420350378,0.798173387
32,Rich Passage,10,47.578117,-122.524833,5061124.75,2.31975,0.81,12.95775,9.24175,3.71625,55.49,18.99,25.1825,34.6525,0.71225,0.0535,0.356533741,0.900199331,-0.064305862,0.491775402,0.324106798,0.912198157
27,Rocky Point,10,47.60255,-122.66992,9469801.25,9.8955,0.68875,13.43925,9.5945,3.8445,53.75,20.4975,25.705,33.8525,0.71425,0.0615,0.032063373,0.976459754,1.760090452,0.167305034,0.400367221,0.912198157
16,"Salmon Bay, Commodore Park",10,47.6663,-122.4018,4444677.5,3.79425,0.7075,15.517,11.148,4.369,58.0075,20.5325,27.2175,34.4,0.71825,0.05725,0.254122781,1.1289806,0.79087991,0.389364442,0.552888066,0.057012385
40,Salmon Beach,11,47.29464,-122.53053,2076089.5,7.299625,0.86375,12.862,8.8005,4.06175,54.6075,19.4375,24.61,33.51,0.684,0.054,-0.106850504,-0.176979143,0.049718908,0.028391157,0.753071677,0.798173387
17,"Seattle Aquarium, Pier 59",10,47.607,-122.342,3037049.5,15.6175,0.8425,14.80475,10.42525,4.3795,58.83,18.6975,25.86,36.3475,0.704,0.05075,1.044005335,0.585625086,-0.691442095,1.179246996,0.009532553,1.53933439
18,Shilshole Bay,10,47.671678,-122.406663,2710238.75,9.90675,0.55625,11.07575,8.0975,2.97825,53.335,18.945,24.8375,32.2925,0.7285,0.053,-0.600653846,1.519815268,-0.178330632,0.465412185,0.943722734,1.026222927
35,"Silverdale, Dyes Inlet",10,47.6427936,-122.6967068,1419996,28.254,0.6875,14.88375,10.3795,4.50425,56.0325,19.865,26.975,34.43,0.698,0.05875,0.26629042,0.356843817,1.132954219,0.401532081,0.219248716,0.285061924
24,Skiff Point,10,47.66142,-122.49884,5612257.75,4.779,0.55875,14.322,10.1585,4.1635,57.525,20.3975,25.6625,33.5975,0.70725,0.053,-0.071361557,0.709548274,-0.178330632,0.063880104,0.13345574,1.026222927
15,"Smith Cove, Terminal 91",10,47.63237,-122.37869,3958466.25,7.5955,0.74,14.108,9.9185,4.1895,54,19.505,25.99,35.735,0.701,0.06275,0.795582709,0.471234452,2.045152376,0.93082437,0.104858082,1.197260081
9,South of Skunk Island,9,48.02667,-122.75076,4437927.25,10.11125,0.78625,13.1975,9.35625,3.84125,54.215,19.88,25.4675,33.92,0.71075,0.0585,0.05944056,0.843004014,1.075941834,0.194682221,0.26691148,0.228049539
38,Squaxin Island,13,47.17650485,-122.9046464,6185908.75,6.574125,0.85625,14.472,9.8375,4.6345,56.3825,20.0175,25.2,34.795,0.68175,0.055,0.414330026,-0.262772119,0.277768447,0.549571687,0.838864653,0.570123848
34,Suquamish Stormwater Outfall,10,47.7296079,-122.5506191,3575218.5,5.81925,1.02125,15.04725,9.98825,5.059,55.36,23.285,29.27,28.27,0.665,0.0595,-2.232131418,-0.901453162,1.303991373,2.096889757,1.477545695,0.456099079
46,Thea Foss Waterway,11,47.259189,-122.434689,9969514.6,11.7874,0.897,13.194,8.497,4.6976,57.874,19.884,26.258,29.332,0.6148,0.0448,-1.801397004,-2.815589778,-2.048336854,1.666155343,3.391682311,2.896229149
22,Three Tree Point,11,47.44896,-122.372267,7868514.75,7.91575,0.8125,16.89325,12.26075,4.6325,58.755,21.7175,27.555,34.825,0.7265,0.0605,0.426497664,1.443554845,1.532040913,0.561739326,0.867462311,0.684148618
67,Tulalip Bay,8.2,48.0617,-122.2939,5438866.5,6.253833333,0.874166667,14.074,10.02,4.054,56.51333333,19.99166667,25.57166667,34.03666667,0.709333333,0.054666667,0.106759157,0.788986201,0.20175201,0.242000818,0.212893668,0.646140285
70,Tulalip Reservation,8.2,48.0697859,-122.2997764,5097254.75,3.952125,0.78375,14.307,9.8595,4.44725,58.56,19.5675,26.48,32.4325,0.68925,0.049,-0.543871532,0.023204467,-1.090528789,0.40862987,0.552888066,1.938421084
73,West Bay Park,13,47.052362,-122.910912,8508351.5,4.628,0.7725,15.0645,10.3975,4.66675,56.8575,20.935,26.215,32.975,0.68675,0.05625,-0.323840063,-0.072121062,0.562830371,0.188598402,0.648213595,0.285061924
26,Williams Olson Park,10,47.66586,-122.56698,3067078.5,6.457625,0.67125,13.20775,9.1555,4.05225,55.9775,18.695,25.3225,33.9625,0.6875,0.05125,0.076678048,-0.043523403,-0.577417325,0.211919709,0.619615937,1.42530962
