"site_name","latitude","longitude","arsenic","cadmium","copper","lead","mercury","zinc","z_arsenic","z_cadmium","z_mercury","z_copper","z_lead","z_zinc","ai_z_arsenic","ai_z_cadmium","ai_z_mercury","ai_z_copper","ai_z_lead","ai_z_zinc","heavy_metal_index","nutrient_metal_index","total_metal_index"
"Mukilteo",47.949831,-122.301703,1260,288,1120,41.2,7.85,11000,-1.09996610932561,-0.86909088385639,1.55329835953396,-0.105542014838578,-0.268785581800378,-1.68531340205918,1.99948956138632,3.4394523395861,5.40263726103631,0.115136743460267,0.531430192487569,1.80814945329555,10.8415791620087,2.45471638924339,13.2962955512521
"N Avenue Park",48.52108,-122.61531,1810,339,1020,78.7,6.41,16700,2.97306818238727,1.27008069320325,0.562241333305639,-0.297436587272357,1.39193376972327,1.28484564225916,2.07354473032655,1.30028076252645,4.411580234808,0.0767578289735116,2.19214954401122,1.16200959102279,7.785405727661,3.43091696400752,11.2163226916685
"North Camano",48.25523,-122.50817,1560,304,1150,45.7,7.84,12900,1.12168895888141,-0.197978232229835,1.54641601907404,-0.0479736431084448,-0.0694992596175402,-0.695260387286401,0.222165506820702,2.76833968795954,5.39575492057639,0.172705115190401,0.730716514670407,0.818096438522771,8.38626011535664,1.72151806838358,10.1077781837402
"Oak Bay County Park",48.022466,-122.728123,1340,312,912,30.2,5.94,12200,-0.507524757803738,0.137578093583443,0.238771331689452,-0.504682725500839,-0.755929924913983,-1.06001676115006,1.40704820986445,2.43278336214626,4.08811023319181,0.284003967201993,0.0442858493739641,1.18285281238643,7.92794180520252,1.51114262896238,9.4390844341649
"Penn Cove Reference",48.214071,-122.719097,1440,325,972,33.6,6.67,12700,0.233026931598604,0.682857123030019,0.741182185263529,-0.389545982040571,-0.605358037042505,-0.799476494104589,0.666496520462107,1.88750433269969,4.59052108676589,0.168867223741726,0.194857737245442,0.922312545340959,7.14452193992768,1.28603750632813,8.43055944625581
"Penrose Point State Park",47.2609094,-122.7447771,1390,311,956,25.4,5.88,14000,-0.137248913102567,0.095633552856783,0.197477288929938,-0.420249113629976,-0.96850200190901,-0.12207179978637,1.03677236516328,2.47472790287292,4.0468161904323,0.19957035533113,0.168286227621063,0.24490785102274,7.5583164584685,0.612764433974934,8.17108089244343
"Point Defiance Ferry",47.3061098,-122.514771,1480,283,1270,72.7,5.01,17000,0.52924760735954,-1.07881358748969,-0.401286331083003,0.18229984381209,1.12621867347949,1.44116980248644,0.370275844701171,3.64917504321939,3.44805257041935,0.402978602110936,1.92643444776744,1.31833375125007,7.46750345833992,3.64774680112844,11.1152502594684
"Port Angeles Yacht Club",48.128267,-123.457133,1470,305,1220,44,4.81,15700,0.455192438419306,-0.156033691503175,-0.538933140281381,0.0863525575952006,-0.144785203553279,0.763765108168223,0.444331013641405,2.72639514723288,3.31040576122098,0.307031315894046,0.655430570734668,0.640929056931853,6.48113192209526,1.60339094356057,8.08452286565583
"Purdy, Dexters",47.385334,-122.628902,1570,331,1010,33.9,6.69,15000,1.19574412782165,0.934524367389977,0.754946866183367,-0.316626044515735,-0.592072282230316,0.399008734304567,0.296220675760936,1.63583708833973,4.60428576768572,0.0959472862168895,0.208143492057631,0.276172683068197,6.53634353178639,0.580263461342717,7.11660699312911
"Purdy, Burley Lagoon",47.387021,-122.6367,1540,315,1120,42.2,6.14,15500,0.973578621000944,0.263411715763422,0.376418140887829,-0.105542014838578,-0.224499732426414,0.659549001350036,0.074055168940234,2.30694973996628,4.22575704239019,0.115136743460267,0.575716041861533,0.536712950113665,6.6067619512967,1.22756573543547,7.83432768673217
"Raft Island Park",47.32622,-122.66715,1190,311,1140,32.1,5.25,11900,-1.61835229190725,0.095633552856783,-0.23611016004495,-0.0671631003518227,-0.671786811103451,-1.21634092137734,2.51787574396796,2.47472790287292,3.61322874145741,0.153515657947023,0.128428963184496,1.33917697261371,8.60583238829829,1.62112159374523,10.2269539820435
"Reach Island",47.346817,-122.822363,1560,341,1510,26.5,4.17,17700,1.12168895888141,1.35396977465657,-0.979402929716188,0.64284681765316,-0.91978756759765,1.8059261763501,0.222165506820702,1.21639168107313,2.86993597178617,0.863525575952006,0.119571793309703,1.68309012511373,4.30849315968,2.66618749437544,6.97468065405544
"Rich Passage",47.578117,-122.524833,1490,301,1250,53.4,5.81,15700,0.603302776299774,-0.323811854409814,0.149300905710506,0.143920929325334,0.271501780561983,0.763765108168223,0.296220675760936,2.89417331013952,3.99863980721286,0.36459968762418,1.07171755484993,0.640929056931853,7.18903379311332,2.07724629940596,9.26628009251928
"Rocky Point",47.60253,-122.66991,1460,336,1030,69.2,5.75,17000,0.381137269479072,1.14424707102328,0.108006862950993,-0.27824713002898,0.971218200670615,1.44116980248644,0.518386182581639,1.42611438470643,3.95734576445335,0.0575683717301337,1.77143397495856,1.31833375125007,5.90184633174142,3.14733609793877,9.04918242968019
"South of Skunk Island",48.02655,-122.75089,1400,306,998,80.9,5.02,13300,-0.0631937441623329,-0.114089150776516,-0.394403990623085,-0.339653393207789,1.48936263834599,-0.486828173650026,0.962717196223043,2.68445060650622,3.45493491087927,0.118974634908943,2.28957841263394,0.609664224886397,7.10210271360854,3.01821727242928,10.1203199860378
"Salmon Bay, Commodore Park",47.666244,-122.401894,1040,264,1020,75.1,5.33,10900,-2.72917982601076,-1.87575986129622,-0.181051436365599,-0.297436587272357,1.232504711977,-1.73742145546828,3.62870327807147,4.44612131702593,3.66828746513676,0.0767578289735116,2.03272048626495,1.86025750670465,11.7431120602342,3.96973582194311,15.7128478821773
"Salmon Beach",47.294692,-122.530504,1410,328,854,33.5,4.26,14200,0.0108614247779012,0.808690745209998,-0.917461865576919,-0.615981577512431,-0.609786621979902,-0.0178556929681827,0.888662027282809,1.76167071051971,2.93187703592544,0.395302819213585,0.190429152308045,0.140691744204553,5.58220977372796,0.726423715726183,6.30863348945414
"Seattle Aquarium, Pier 59",47.607334,-122.344055,1420,319,1250,67.3,6.32,13700,0.0849165937181353,0.431189878670061,0.500300269166369,0.143920929325334,0.887075086860083,-0.278395960013651,0.814606858342575,2.13917157705964,4.34963917066873,0.36459968762418,1.68729086114803,0.401232011250022,7.30341760607095,2.45312256002223,9.75654016609318
"Shilshole Bay",47.6707,-122.40605,1180,226,1170,60.8,6.18,11300,-1.69240746084748,-3.46965240890929,0.403947502727504,-0.00959472862168895,0.599217065929317,-1.5289892418319,2.59193091290819,6.040013864639,4.25328640422986,0.211084029677157,1.39943284021726,1.65182529306827,12.8852311817771,3.26234216296269,16.1475733447397
"Silverdale, Dyes Inlet",47.6428,-122.6967,1510,296,1250,74.5,6.24,13100,0.751413114180242,-0.533534558043112,0.445241545487018,0.143920929325334,1.20593320235262,-0.591044280468214,0.148110337880468,3.10389601377282,4.29458044698938,0.36459968762418,2.00614897664057,0.713880331704584,7.54658679864266,3.08462899596934,10.631215794612
