site_number,site_name,reporting_area,latitude,longitude,p450,sod,shell,ci1,ci2,ci3,ibr_biomarker,ibr_morphometric,ibr_combined,chlordane_index,ddt_index,hch_index,heavy_metal_index,nutrient_metal_index,total_metal_index,pah_lmw_index,pah_hmw_index,pah_add_index,total_pah_index,pbde_index,pcb_index,pesticide_index
33,"Manchester, Stormwater Outfall",10,47.55622,-122.54281,7715455.75,3.407625,0.60625,34.17,0.73075,0.062,3.656562751,3.248647525,6.905210276,0,1.066109255,0,7.745301558,1.743205567,9.488507126,1.621229448,1.407038279,2.417234596,5.445502323,0.809480691,9.804965173,0
51,Maple Hollow Park,13,47.30008,-122.74566,12906891.5,4.6215,0.775,36.405,0.71025,0.05425,5.004766412,6.455759094,11.46052551,0,0.700586082,0,5.289114438,0.763476722,6.05259116,0.866298445,0.342854715,2.260062948,3.469216108,0,15.10222153,0
11,Maristone Island,9,48.018127,-122.699524,4711148.333,5.722,0.699166667,33.65333333,0.7255,0.055666667,2.227661446,4.59876003,6.826421476,0,0.578745024,0,7.455291843,1.844016705,9.299308548,2.352534558,0.024910274,2.177268412,4.554713244,0,21.18755686,0
71,"Meyer's Point, Henderson Inlet",13,47.11795,-122.83359,2252669.75,15.21175,0.78875,35.8875,0.7025,0.05625,0.574911677,9.835336749,10.41024843,0,0.578745024,0,9.312986437,2.090529538,11.40351597,2.722507703,0.086061389,2.291715796,5.100284888,0,20.57702262,0
20,Miller Creek,11,47.4436,-122.360316,15899206.5,4.015375,0.82125,34.2125,0.6955,0.05575,6.062638691,3.720876393,9.783515083,2.140380845,1.628618513,0,7.536116186,0.854856355,8.390972541,1.942712138,1.167838825,3.074690966,6.185241929,0,17.19305273,1.436423965
55,Minter Bay,13,47.3539722,-122.69175,8029787,5.00975,0.9175,36.9575,0.6505,0.051,3.409505037,9.240914814,12.65041985,0,0.791966875,0,5.103270364,1.599987627,6.703257991,1.300641075,0.346873843,2.395205758,4.042720676,0,12.39972258,0
65,Mukilteo,8.2,47.94968,-122.30158,8713508,7.6065,0.79125,32.595,0.699,0.05075,3.06308234,15.38243941,18.44552175,0,0.913807933,0,10.84157916,2.454716389,13.29629555,4.674498328,1.72686789,4.281886277,10.6832525,1.531529716,14.22586784,0
62,N Avenue Park,7,48.52108,-122.61531,6764939.25,1.446375,0.8225,36.6475,0.6935,0.057,3.783638981,8.108859935,11.89249892,0,5.902490115,2.390018445,7.785405728,3.430916964,11.21632269,39.48561448,25.91782327,12.88456248,78.28800023,1.999177955,17.76149665,0
7,North Camano,8.1,48.255358,-122.507014,12423809,0.75175,0.7675,32.4425,0.70175,0.05225,5.687105234,4.831927239,10.51903247,0,2.419076448,0,8.386260115,1.721518068,10.10777818,4.584046016,0.333855397,3.973702321,8.891603734,0,20.29261215,0
10,Oak Bay County Park,9,48.02218,-122.728709,2335225.75,11.8395,0.77375,34.77,0.6845,0.056,0.175787222,9.181587314,9.357374536,0,0.54828476,0,7.927941805,1.511142629,9.439084434,2.303443384,0.05405697,2.100970156,4.45847051,0,22.32137448,0
3,Penn Cove Reference,8.1,48.21423,-122.718972,2290809.25,12.593,0.60625,33.44,0.70375,0.0575,0,0,0,0,2.113317844,0,7.14452194,1.286037506,8.430559446,2.219137111,0.101918675,2.978995284,5.30005107,0,15.02537926,0
50,Penrose Point State Park,13,47.2619,-122.7376,7562838.75,4.423,0.8575,26.3225,0.6765,0.06475,3.390927171,11.06124257,14.45216974,0,0.639665553,0,7.558316458,0.612764434,8.171080892,0.987997442,0.483049579,2.082086653,3.553133674,0.6140888,21.36300766,0
43,Point Defiance Ferry,11,47.3062,-122.5145,2116286.75,6.454,0.83875,36.8175,0.71425,0.05475,1.374118871,10.8705409,12.24465977,0,1.659078777,0,7.467503458,3.647746801,11.11525026,6.807867147,5.130767026,3.716617555,15.65525173,1.060698836,13.3146413,0
1,Port Angeles Yacht Club,6,48.12823,-123.45715,5668182.167,7.99825,0.800833333,34.22833333,0.688666667,0.059166667,2.03487343,7.632720803,9.667594233,0,4.145118165,0,6.481131922,1.603390944,8.084522866,22.42258939,20.3991163,11.53068876,54.35239445,0,28.22343974,0
47,"Purdy, Burley Lagoon",13,47.386977,-122.6367089,3937235,10.05025,0.915,32.9,0.69325,0.053,1.057098038,5.007710429,6.064808466,0,1.005188726,0,6.606761951,1.227565735,7.834327687,1.394046151,0.72873434,2.509653142,4.632433633,1.425829061,28.09858805,1.605415019
57,"Purdy, Dexters",13,47.38566,-122.627255,4578794.25,1.760875,0.84375,33.7725,0.679,0.049,3.038364857,8.076095383,11.11446024,0,0.883347669,0,6.536343532,0.580263461,7.116606993,2.830861227,0.367244374,2.646113807,5.844219408,0,14.77604353,0
53,Raft Island Park,13,47.32598,-122.66724,4185580.75,3.778125,0.65375,35.5425,0.7245,0.0525,2.482725079,10.45337502,12.9361001,0,0.609205289,0,8.605832388,1.621121594,10.22695398,1.1329325,0.233350879,2.139119284,3.505402663,0,12.63742924,0
39,Reach Island,13,47.346537,-122.82236,5721095,4.58375,0.77,32.295,0.6665,0.054,2.785468385,8.654059806,11.43952819,0,0.761506611,0,4.30849316,2.666187494,6.974680654,5.063277824,0.592981645,4.395009033,10.0512685,0,20.30843057,0
32,Rich Passage,10,47.578117,-122.524833,5061124.75,2.31975,0.81,34.6525,0.71225,0.0535,3.067704575,13.38090479,16.44860937,0,1.447498965,0,7.189033793,2.077246299,9.266280093,3.838967115,1.670903411,2.256234126,7.766104652,1.71594097,34.74117152,0
27,Rocky Point,10,47.60255,-122.66992,9469801.25,9.8955,0.68875,33.8525,0.71425,0.0615,2.805328288,10.64241136,13.44773965,0,1.248870842,1.509485334,5.901846332,3.147336098,9.04918243,7.398534306,2.401121273,4.077737718,13.8773933,0.865306945,30.30853381,0
16,"Salmon Bay, Commodore Park",10,47.6663,-122.4018,4444677.5,3.79425,0.7075,34.4,0.71825,0.05725,2.559571284,3.410679974,5.970251258,10.04091987,10.03024255,12.30817693,11.74311206,3.969735822,15.71284788,3.643149467,9.91290398,3.425464716,16.98151816,3.330286997,36.68315434,2.957343456
40,Salmon Beach,11,47.29464,-122.53053,2076089.5,7.299625,0.86375,33.51,0.684,0.054,1.20475085,14.18847859,15.39322944,0,0.791966875,0,5.582209774,0.726423716,6.308633489,9.941712506,2.322251187,4.729701586,16.99366528,0.837393818,16.05636475,0
17,"Seattle Aquarium, Pier 59",10,47.607,-122.342,3037049.5,15.6175,0.8425,36.3475,0.704,0.05075,0.881650254,8.441909176,9.32355943,0,4.418864023,6.141993028,7.303417606,2.45312256,9.756540166,3.841817117,38.72168671,3.938510529,46.50201436,2.612343684,58.38632435,1.26743291
18,Shilshole Bay,10,47.671678,-122.406663,2710238.75,9.90675,0.55625,32.2925,0.7285,0.053,0.707615929,17.28758034,17.99519627,5.817550869,11.62086054,0,12.88523118,3.262342163,16.14757334,21.80245396,20.62844284,9.015358863,51.44625566,3.369180761,45.5391262,2.788352402
35,"Silverdale, Dyes Inlet",10,47.6427936,-122.6967068,1419996,28.254,0.6875,34.43,0.698,0.05875,3.637392815,5.921258501,9.558651317,0,2.061445753,1.509485334,7.546586799,3.084628996,10.63121579,14.58797324,2.216475572,5.294787621,22.09923643,1.938322917,20.26037771,1.605415019
24,Skiff Point,10,47.66142,-122.49884,5612257.75,4.779,0.55875,33.5975,0.70725,0.053,2.709748506,6.560619741,9.270368247,0,1.066109255,0,6.498028842,1.614313604,8.112342446,3.065371547,1.780836768,2.427782468,7.273990783,0,13.9877027,0
15,"Smith Cove, Terminal 91",10,47.63237,-122.37869,3958466.25,7.5955,0.74,35.735,0.701,0.06275,1.591504944,10.1328671,11.72437204,9.029739472,19.12217326,12.2709428,7.615970275,5.371177844,12.98714812,4.919072941,70.12523609,4.690343948,79.73465298,13.6681864,84.56391717,13.72998568
9,South of Skunk Island,9,48.02667,-122.75076,4437927.25,10.11125,0.78625,33.92,0.71075,0.0585,1.199183613,12.38852187,13.58770548,0,0,0,7.102102714,3.018217272,10.12031999,46.48325147,1.003929189,18.42985629,65.91703695,0,19.1104512,0
38,Squaxin Island,13,47.17650485,-122.9046464,6185908.75,6.574125,0.85625,34.795,0.68175,0.055,2.501574069,8.980477433,11.4820515,0,0.609205289,0,5.734942956,0.391044689,6.125987645,4.71299683,0.766483077,3.28460613,8.764086037,0,19.188878,0
34,Suquamish Stormwater Outfall,10,47.7296079,-122.5506191,3575218.5,5.81925,1.02125,28.27,0.665,0.0595,1.854641027,11.0842263,12.93886733,0,1.410655163,0,6.752501671,0.640375598,7.392877269,2.977896268,1.844797009,1.606945946,6.429639223,1.55441406,11.92734923,0
46,Thea Foss Waterway,11,47.259189,-122.434689,9969514.6,11.7874,0.897,29.332,0.6148,0.0448,2.553426276,9.96806011,12.52148639,7.597104399,4.418155153,2.390018445,7.708197438,3.028967405,10.73716484,14.51681317,9.807046584,6.248778264,30.57263802,3.297345087,22.87715884,1.605415019
22,Three Tree Point,11,47.44896,-122.372267,7868514.75,7.91575,0.8125,34.825,0.7265,0.0605,2.734660194,4.432851449,7.167511643,2.408924023,1.462092693,0,6.764608877,0.441505443,7.20611432,3.668658516,1.444326295,3.608835755,8.721820566,2.351067973,14.5272613,1.605415019
67,Tulalip Bay,8.2,48.0617,-122.2939,5438866.5,6.253833333,0.874166667,34.03666667,0.709333333,0.054666667,2.338879691,10.12222497,12.46110466,0,1.005188726,0,7.744838811,2.595981258,10.34082007,3.267227091,1.274629161,4.101211224,8.643067476,0.753654436,15.67748513,1.774406074
70,Tulalip Reservation,8.2,48.0697859,-122.2997764,5097254.75,3.952125,0.78375,32.4325,0.68925,0.049,2.727907091,7.339273226,10.06718032,0,0.670125818,0,8.329601337,2.064114147,10.39371548,2.700374086,1.03200982,3.052282717,6.784666623,0.502436291,12.09977211,0
73,West Bay Park,13,47.052362,-122.910912,8508351.5,4.628,0.7725,32.975,0.68675,0.05625,3.639932651,5.449607212,9.089539862,0,1.340251635,0,8.64876321,1.346707223,9.995470432,3.345995899,3.159380508,4.737316802,11.24269321,3.776897033,16.97944239,0
26,Williams Olson Park,10,47.66586,-122.56698,3067078.5,6.457625,0.67125,33.9625,0.6875,0.05125,1.559865684,11.17446865,12.73433433,0,1.09656952,0,7.245365732,3.174748306,10.42011404,6.223350794,1.332190854,3.224588701,10.78013035,0.669915054,23.3693068,0
