sample_id,latitude,longitude,site_name,site_number,reporting_area,p450,sod,shell,ci1,ci2,ci3,weight_initial_g,weight_final_g,weight_change_g,length_mm,width_mm,height_mm,IBR,IBRv2i
69,47.61862,-122.36108,Elliot Bay Myrtle Edwards,19,10,1806125,13.395,0.89,0.033,0.675,0.061,16.028,5.215,10.812,56.16,26.05,22.33,3.541255201652786,0.8124217095370733
70,47.61862,-122.36108,Elliot Bay Myrtle Edwards,19,10,2362698,16.327,0.74,0.035,0.712,0.053,12.024,3.469,8.555,54.47,25.88,17.49,4.000914629819143,-1.411532823658164
71,47.61862,-122.36108,Elliot Bay Myrtle Edwards,19,10,3124141,8.805,0.615,0.034,0.679,0.056,11.842,3.803,8.039,52.45,24.34,18.52,4.289961174929488,-1.7802267797627496
72,47.61862,-122.36108,Elliot Bay Myrtle Edwards,19,10,2002595,3.62,0.935,0.037,0.702,0.055,17.137,5.104,12.033,60.09,25.49,20.96,4.025824951194459,0.8896242121073562
73,47.61862,-122.36108,Elliot Bay Myrtle Edwards,19,10,2882039,16.483,0.94,0.036,0.706,0.066,20.214,5.944,14.27,59.96,27.64,23.97,7.0243391447927195,2.4775597672023895
74,47.386977,-122.6367089,"Purdy, Burley Lagoon",47,13,3561414,12.064,1.195,0.032,0.667,0.056,22.609,7.535,15.075,64.64,29.68,24.32,10.93886848474024,4.329263384451928
75,47.386977,-122.6367089,"Purdy, Burley Lagoon",47,13,4065347,13.017,0.705,0.031,0.7,0.043,9.704,2.91,6.793,53.9,21.64,18.69,5.524473582189262,-1.8545191854875769
76,47.386977,-122.6367089,"Purdy, Burley Lagoon",47,13,1243698,9.53,0.83,0.032,0.711,0.052,15.609,4.514,11.096,59.82,30.47,19.15,4.217641921401063,0.21609309734477886
77,47.386977,-122.6367089,"Purdy, Burley Lagoon",47,13,6878481,5.59,0.93,0.036,0.695,0.061,18.299,5.587,12.711,59.38,27.08,21.75,4.2921534641814985,1.9052571272574186
78,47.607,-122.342,"Seattle Aquarium, Pier 59",17,10,2711672,51.083,0.755,0.035,0.703,0.05,11.15,3.316,7.834,53.87,23.98,17.44,9.198073672598749,-1.0534618447041093
79,47.607,-122.342,"Seattle Aquarium, Pier 59",17,10,2380702,8.733,0.905,0.036,0.698,0.051,15.641,4.726,10.915,59.95,26.9,18.86,3.0484734232023056,0.3377952413761566
80,47.607,-122.342,"Seattle Aquarium, Pier 59",17,10,4563731,1.736,0.905,0.037,0.691,0.049,16.231,5.011,11.22,61.17,26.63,18.82,3.5694671113936502,0.6620503397937433
81,47.607,-122.342,"Seattle Aquarium, Pier 59",17,10,2492093,0.918,0.805,0.038,0.724,0.053,16.197,4.465,11.732,60.33,25.93,19.67,2.729406454696839,0.08076869778361594
82,48.024789,-122.998135,Jamestown,2,6,2974825,7.943,0.58,0.037,0.723,0.054,13.057,3.614,9.442,55.75,25.17,18.3,3.4282757949243488,-1.5647204471122067
83,48.024789,-122.998135,Jamestown,2,6,4846845,12.472,0.615,0.035,0.689,0.062,14.997,4.659,10.338,55.1,27.87,19.07,3.128764863985013,-0.4476597542108119
84,48.024789,-122.998135,Jamestown,2,6,2235572,8.018,0.545,0.033,0.694,0.054,11.005,3.367,7.639,51.96,24.21,18.5,5.307766338802522,-2.3336331292388532
85,48.024789,-122.998135,Jamestown,2,6,3342765,5.417,0.45,0.034,0.717,0.059,13.568,3.838,9.73,54.99,27.36,19.06,4.594023240583962,-1.593460009413058
86,48.024789,-122.998135,Jamestown,2,6,2775717,5.625,0.61,0.026,0.663,0.04,13.364,4.505,8.859,60.6,25.38,22.06,4.159594761597878,-0.2835031194501907
87,48.024789,-122.998135,Jamestown,2,6,2874750,7.041,0.64,0.038,0.735,0.06,17.687,4.688,12.999,60.13,27.02,20.92,3.7341334801562986,0.2958837074448697
88,48.02218,-122.728709,Oak Bay County Park,10,9,2227398,12.533,0.81,0.037,0.672,0.064,15.037,4.927,10.11,54.11,24.54,20.35,2.7372937610533614,-0.1572439324782263
89,48.02218,-122.728709,Oak Bay County Park,10,9,3074511,7.395,0.8,0.038,0.705,0.055,17.729,5.229,12.5,61.17,27.68,19.29,3.0386908564206756,0.6904125900865947
90,48.02218,-122.728709,Oak Bay County Park,10,9,2424308,25.051,0.75,0.036,0.721,0.06,13.041,3.64,9.402,53.81,25.38,18.99,4.49194635353671,-0.8527276270712834
91,48.02218,-122.728709,Oak Bay County Park,10,9,1614686,2.379,0.735,0.027,0.64,0.045,11.16,4.015,7.145,54.16,25.33,19.18,3.3517572349549845,-1.4793771273608565
92,47.63237,-122.37869,"Smith Cove, Terminal 91",15,10,2166611,5.577,0.81,0.041,0.725,0.065,18.864,5.191,13.673,59.5,27.07,20.68,3.46057273519466,0.8413569778474022
93,47.63237,-122.37869,"Smith Cove, Terminal 91",15,10,7730819,3.914,0.845,0.034,0.69,0.075,12.463,3.862,8.601,48.58,27.11,19.21,4.067895904405657,-0.5794065907573849
94,47.63237,-122.37869,"Smith Cove, Terminal 91",15,10,1618147,7.69,0.605,0.035,0.706,0.053,11.287,3.319,7.968,53.33,23.5,18.35,5.006153732445969,-2.1942073636219446
95,47.63237,-122.37869,"Smith Cove, Terminal 91",15,10,4318288,13.201,0.7,0.033,0.683,0.058,13.818,4.386,9.432,54.59,26.28,19.78,2.418515730731892,-0.4659476900691644
96,47.68234,-122.5064,Brackenwood Ln,23,10,1269668,0.0025,0.555,0.037,0.723,0.052,15.838,4.393,11.446,60.24,26.11,19.7,4.567872831245718,-0.8168612678278596
97,47.68234,-122.5064,Brackenwood Ln,23,10,2011541,15.989,0.625,0.033,0.639,0.05,15.892,5.736,10.156,58.67,27.49,19.06,4.778084855582584,-0.12270391047678017
