site_name,latitude,longitude,reporting_area,site_number,sample_id,at,cf,PAHgroup3,PAHgroup4,PAHgroup5,PAHgroup6,Sum40CBs,SumBDEs,SumCHLDs,SumDDTs,SumHCHs
Kopachuck State Park,47.30973,-122.68868,13,52,253,0.79,0.2201,1,1,0,0,31.71267874,1.48442326,-1.079580553,1.48442326,-0.877159199
Lions Park,47.5833538,-122.6414587,10,37,299,0.66,0.1797,2,2,1,2,58.57672322,6.515837752,-1.579597031,3.027560976,-1.316330859
Lions Park,47.5833538,-122.6414587,10,37,300,0.75,0.1435,2,2,1,2,58.57672322,6.515837752,-1.579597031,3.027560976,-1.316330859
Lions Park,47.5833538,-122.6414587,10,37,301,0.805,0.1266,2,2,1,2,58.57672322,6.515837752,-1.579597031,3.027560976,-1.316330859
Lions Park,47.5833538,-122.6414587,10,37,302,0.785,0.1424,2,2,1,2,58.57672322,6.515837752,-1.579597031,3.027560976,-1.316330859
Locust Beach,48.77636877,-122.5378679,7,76,235,0.665,0.1222,1,1,0,0,20.48069984,-1.472050301,-1.472050301,4.352148715,-1.216041553
Locust Beach,48.77636877,-122.5378679,7,76,236,0.6,0.1728,1,1,0,0,20.48069984,-1.472050301,-1.472050301,4.352148715,-1.216041553
Locust Beach,48.77636877,-122.5378679,7,76,237,0.745,0.1811,1,1,0,0,20.48069984,-1.472050301,-1.472050301,4.352148715,-1.216041553
Locust Beach,48.77636877,-122.5378679,7,76,238,0.74,0.2022,1,1,0,0,20.48069984,-1.472050301,-1.472050301,4.352148715,-1.216041553
Madrona Pont,47.57995505,-122.6786,10,28,153,0.71,0.1702,2,2,1,2,53.0332314,1.627155963,-1.265565749,2.591396534,-1.024505607
Madrona Pont,47.57995505,-122.6786,10,28,154,0.785,0.1249,2,2,1,2,53.0332314,1.627155963,-1.265565749,2.591396534,-1.024505607
Madrona Pont,47.57995505,-122.6786,10,28,155,0.72,0.1286,2,2,1,2,53.0332314,1.627155963,-1.265565749,2.591396534,-1.024505607
Madrona Pont,47.57995505,-122.6786,10,28,156,1.005,0.1988,2,2,1,2,53.0332314,1.627155963,-1.265565749,2.591396534,-1.024505607
"Manchester, Stormwater Outfall",47.55622,-122.54281,10,33,261,0.61,0.2221,2,3,2,3,41.04681746,1.983929511,-1.368227249,2.394397685,-1.162993161
"Manchester, Stormwater Outfall",47.55622,-122.54281,10,33,262,0.57,0.199,2,3,2,3,41.04681746,1.983929511,-1.368227249,2.394397685,-1.162993161
"Manchester, Stormwater Outfall",47.55622,-122.54281,10,33,263,0.6,0.1848,2,3,2,3,41.04681746,1.983929511,-1.368227249,2.394397685,-1.162993161
