site_name,analyte,dryvalue
S of Skunk Island,Br5DE04,-1.561507644
S of Skunk Island,Br5DE05,-1.561507644
S of Skunk Island,Br6DE01,-1.561507644
S of Skunk Island,Br7DE01,-1.261217712
S of Skunk Island,PCB101,2.041971534
S of Skunk Island,PCB105,-1.501449657
S of Skunk Island,PCB011,-1.561507644
S of Skunk Island,PCB110,2.10202952
S of Skunk Island,PCB118,2.402319452
S of Skunk Island,PCB128,-1.561507644
S of Skunk Island,PCB138,3.062957301
S of Skunk Island,PCB149,-1.501449657
S of Skunk Island,PCB151,-1.561507644
S of Skunk Island,PCB153,3.002899315
S of Skunk Island,PCB156,-1.561507644
S of Skunk Island,PCB158,-1.561507644
S of Skunk Island,PCB017,-1.501449657
S of Skunk Island,PCB170,-1.501449657
S of Skunk Island,PCB171,-1.561507644
S of Skunk Island,PCB177,-1.561507644
S of Skunk Island,PCB018,1.741681603
S of Skunk Island,PCB180,-1.561507644
S of Skunk Island,PCB183,-1.501449657
S of Skunk Island,PCB187,-1.561507644
S of Skunk Island,PCB191,-1.561507644
S of Skunk Island,PCB194,-1.561507644
S of Skunk Island,PCB195,-1.501449657
S of Skunk Island,PCB198,-1.501449657
S of Skunk Island,PCB199,-1.561507644
S of Skunk Island,PCB205,-1.501449657
S of Skunk Island,PCB206,-1.501449657
S of Skunk Island,PCB208,-1.561507644
S of Skunk Island,PCB209,-1.561507644
S of Skunk Island,PCB028,1.741681603
S of Skunk Island,PCB031,1.861797575
S of Skunk Island,PCB033,-1.501449657
S of Skunk Island,PCB044,-1.561507644
S of Skunk Island,PCB049,-1.561507644
S of Skunk Island,PCB052,-1.561507644
S of Skunk Island,PCB066,-1.561507644
S of Skunk Island,PCB070,-1.561507644
S of Skunk Island,PCB074,-1.561507644
S of Skunk Island,PCB082,-1.561507644
S of Skunk Island,PCB087,-1.501449657
S of Skunk Island,PCB095,-1.561507644
S of Skunk Island,PCB099,-1.501449657
S of Skunk Island,cis_nonachlor,-1.561507644
S of Skunk Island,dieldrin,-1.201159726
S of Skunk Island,Endosulfan_1,-1.381333685
S of Skunk Island,hexachlorobenzene,-1.561507644
S of Skunk Island,heptachlor,-1.381333685
S of Skunk Island,heptachlor_epoxide,-1.441391671
S of Skunk Island,gamma_hexachlorocyclohexane,-1.321275698
S of Skunk Island,mirex,-1.561507644
S of Skunk Island,nonachlor3,-1.561507644
S of Skunk Island,opDDD,-1.561507644
S of Skunk Island,opDDE,-1.561507644
