site_number,Individual,weight,length,width,height,weight_final,weight_change,condition_factor,avg_thickness,economic_index
41,149,15.9109,59.5,25.3,21.23,4.4858,11.43,0.2674,0.89,0.0021
41,150,13.2485,55.87,24.7,20.41,3.5748,9.67,0.2371,0.68,0.0017
41,151,16.1899,56.61,26.94,21.6,5.4163,10.77,0.286,1.075,0.0026
41,152,15.5657,55.46,31.63,19.32,4.1077,11.46,0.2807,0.71,0.0016
28,153,15.1226,59.24,24.46,20.5,5.0448,10.08,0.2553,0.71,0.0017
28,154,10.3545,53.26,22.8,18.3,3.704,6.65,0.1944,0.785,0.0021
28,155,10.4821,53.95,23.67,16.94,3.5392,6.94,0.1943,0.72,0.0019
28,156,19.3627,65.4,27.68,22.34,6.3652,13,0.2961,1.005,0.0022
49,157,16.3493,59.4,26.4,19.39,5.0622,11.29,0.2752,0.82,0.0019
49,158,13.4352,55.09,25.49,18.91,4.254,9.18,0.2439,0.955,0.0024
49,159,11.9488,52.65,23.78,17.4,3.8426,8.11,0.2269,0.75,0.0020
49,160,11.7051,53.44,24.95,17.52,3.5722,8.13,0.219,0.75,0.0019
49,161,12.0381,53.44,23.25,17.47,4.5524,7.49,0.2253,0.83,0.0022
12,162,14.3437,59.29,25.24,19.01,4.6639,9.68,0.2419,0.745,0.0018
12,163,15.1766,55.56,29.62,18.94,4.7712,10.41,0.2732,0.805,0.0019
12,164,17.3204,55.47,28.06,23.17,5.4867,11.83,0.3122,0.75,0.0018
12,165,18.0072,59.27,28.11,21.02,5.5914,12.42,0.3038,0.875,0.0020
36,166,16.8684,59.01,24.73,22.49,5.5323,11.34,0.2859,0.815,0.0019
36,167,15.6753,61.09,27.81,18.51,5.3841,10.29,0.2566,0.845,0.0019
36,168,16.2326,58.22,26.52,23.54,6.2651,9.97,0.2788,0.875,0.0021
36,169,12.041,55.81,23.4,18.38,4.768,7.27,0.2157,0.71,0.0018
32,170,15.6564,59.07,27.71,19.45,4.4256,11.23,0.265,0.9,0.0021
32,171,11.3603,52.98,23.01,18.6,3.4726,7.89,0.2144,0.83,0.0022
32,172,13.3136,54.84,25.64,20.38,3.6932,9.62,0.2428,0.745,0.0019
32,173,11.5006,55.07,24.37,17.53,3.2727,8.23,0.2088,0.765,0.0019
59,174,9.8546,55.74,24.77,15.97,3.9552,5.9,0.1768,0.795,0.0020
59,175,15.7674,58.97,20.21,20.31,4.8317,10.94,0.2674,0.815,0.0021
59,176,18.9508,63.23,22.09,21.69,6.2756,12.68,0.2997,1.055,0.0025
59,177,12.5502,56.02,23.73,18.27,4.4133,8.14,0.224,0.76,0.0019
