"site_number","site_name","reporting_area","latitude","longitude","p450","sod","shell","ci1","ci2","ci3","length","height","width","weight_change","weight_initial","weight_final","ibr_bio","ibr_morph","ibr_combined","chlordane_index","ddt_index","hch_index","heavy_metal_index","nutrient_metal_index","total_metal_index","pah_lmw_index","pah_hmw_index","pah_add_index","total_pah_index","pbde_index","pcb_index","pesticide_index","total_con_index","cluster"
"28","Madrona Pont","10",47.57995505,-122.6786,1.636159375,-1.3928443,0.394495203,-0.062534055,-0.091878886,-0.338643127,-0.013423331,-0.120660986,-0.170482175,-0.367014682,-0.274908645,-0.078027682,3.029003674,1.298044017,4.327047692,0,1.309791371,0,6.587038565,3.08772696,9.674765525,2.728050368,1.368938272,2.880201763,6.977190403,0.753654436,22.17701154,0,40.89241328,2
"33","Manchester, Stormwater Outfall","10",47.55622,-122.54281,1.64059564,-3.919688717,-0.001404636,0.031413736,0.053872716,0.107281485,-0.043083742,0.0157179,-0.023734834,-0.019397011,-0.072052324,-0.213427269,5.560284357,0.334569573,5.89485393,0,1.066109255,0,7.745301558,1.743205567,9.488507126,1.621229448,1.407038279,2.417234596,5.445502323,0.809480691,9.804965173,0,26.61456457,2
"51","Maple Hollow Park","13",47.30008,-122.74566,1.761344072,-6.264923985,0.345343056,0.122511913,0.013555941,-0.086100883,-0.008249799,-0.122253653,-0.095872494,-0.103714446,-0.116310202,-0.147368982,8.656934191,0.822841215,9.479775407,0,0.700586082,0,5.289114438,0.763476722,6.05259116,0.866298445,0.342854715,2.260062948,3.469216108,0,15.10222153,0,25.32461488,1
"11","Maristone Island","9",48.018127,-122.699524,0.858934329,-1.580745825,0.192931695,0.007165108,0.041362769,-0.050162999,-0.013225631,-0.056977119,-0.025030834,-0.087833847,-0.128316974,-0.25691436,2.574524644,0.74738638,3.321911025,0,0.578745024,0,7.455291843,1.844016705,9.299308548,2.352534558,0.024910274,2.177268412,4.554713244,0,21.18755686,0,35.62032368,2
"71","Meyer's Point, Henderson Inlet","13",47.11795,-122.83359,0.002206609,0.305844021,0.346585221,0.103036051,-0.002867896,-0.033570164,-0.058037333,-0.110855838,-0.132406382,-0.198075087,-0.193458798,-0.187845191,1.348764361,0.936146836,2.284911197,0,0.578745024,0,9.312986437,2.090529538,11.40351597,2.722507703,0.086061389,2.291715796,5.100284888,0,20.57702262,0,37.6595685,3
"20","Miller Creek","11",47.4436,-122.360316,2.673854381,-4.078260675,0.424653783,0.032772571,-0.017352479,-0.04924489,0.000802064,-0.008720831,-0.069485156,-0.044500416,-0.026254776,0.011023045,6.752115056,0.693819375,7.445934431,2.140380845,1.628618513,0,7.536116186,0.854856355,8.390972541,1.942712138,1.167838825,3.074690966,6.185241929,0,17.19305273,1.436423965,36.97469052,2
"55","Minter Bay","13",47.3539722,-122.69175,1.904807284,-1.241731958,0.586382307,0.125339862,-0.113483262,-0.175122107,0.004461723,-0.048522446,-0.245003124,-0.163552099,-0.04930635,0.189120508,3.146539242,1.23483379,4.381373032,0,0.791966875,0,5.103270364,1.599987627,6.703257991,1.300641075,0.346873843,2.395205758,4.042720676,0,12.39972258,0,23.93766812,3
"65","Mukilteo","8.2",47.94968,-122.30158,1.929144442,-1.451943934,0.378315168,-0.036212419,-0.009975937,-0.182463388,-0.087408173,-0.178290608,-0.138107005,-0.439779261,-0.42873729,-0.407362061,3.694533979,1.221900216,4.916434195,0,0.913807933,0,10.84157916,2.454716389,13.29629555,4.674498328,1.72686789,4.281886277,10.6832525,1.531529716,14.22586784,0,40.65075354,2
"62","N Avenue Park","7",48.52108,-122.61531,1.618478639,-7.213756626,0.433437662,0.127157293,-0.020996413,-0.015001973,-0.046522542,-0.029335136,-0.204559714,-0.153101273,-0.131415396,-0.082502519,8.832235265,1.022274811,9.854510075,0,5.902490115,2.390018445,7.785405728,3.430916964,11.21632269,39.48561448,25.91782327,12.88456248,78.28800023,1.999177955,17.76149665,0,117.5575061,1
"7","North Camano","8.1",48.255358,-122.507014,2.020900562,-7.592918024,0.337183724,-0.042691938,-0.004063375,-0.14110467,0.003959835,-0.048356715,-0.036766777,-0.123715172,-0.11831883,-0.108430958,9.613818585,0.696715692,10.31053428,0,2.419076448,0,8.386260115,1.721518068,10.10777818,4.584046016,0.333855397,3.973702321,8.891603734,0,20.29261215,0,41.71107051,1
"10","Oak Bay County Park","9",48.02218,-122.728709,0.149829306,-0.278015829,0.350726346,0.044334476,-0.041149837,-0.0504642,-0.065102356,-0.1181125,-0.106193059,-0.24476885,-0.202975886,-0.118242098,1.361743395,0.987907074,2.349650469,0,0.54828476,0,7.927941805,1.511142629,9.439084434,2.303443384,0.05405697,2.100970156,4.45847051,0,22.32137448,0,36.76721418,3
"3","Penn Cove Reference","8.1",48.21423,-122.718972,-2.05e-15,5e-16,-0.003094221,-2.21e-16,5.12e-17,-0.005880101,-0.000581106,2.29e-16,-0.003214195,-0.003630771,-0.002598253,-0.003187972,1.46052729,0.325195428,1.785722718,0,2.113317844,0,7.14452194,1.286037506,8.430559446,2.219137111,0.101918675,2.978995284,5.30005107,0,15.02537926,0,30.86930762,3
"50","Penrose Point State Park","13",47.2619,-122.7376,1.718423322,-1.378331165,0.4969044,-0.417466667,-0.057687238,0.044846154,-0.099714978,0.141626457,0.122943623,-0.252282322,-0.193747066,-0.070547093,3.096754487,1.193330879,4.290085366,0,0.639665553,0,7.558316458,0.612764434,8.171080892,0.987997442,0.483049579,2.082086653,3.553133674,0.6140888,21.36300766,0,34.34097658,2
"43","Point Defiance Ferry","11",47.3062,-122.5145,0.005482714,-0.84983106,0.465746783,0.139538404,0.021629176,-0.073662624,-0.038820238,-0.171882064,-0.117797624,-0.188787666,-0.20954556,-0.261148758,1.173790325,0.998427378,2.172217703,0,1.659078777,0,7.467503458,3.647746801,11.11525026,6.807867147,5.130767026,3.716617555,15.65525173,1.060698836,13.3146413,0,42.8049209,3
"1","Port Angeles Yacht Club","6",48.12823,-123.45715,1.249695527,-2.671953215,0.370557119,0.028506672,-0.03291303,0.035381896,-0.076386487,-0.0003515,-0.142259672,-0.190360521,-0.156453994,-0.093986554,4.498257665,1.143406628,5.641664292,0,4.145118165,0,6.481131922,1.603390944,8.084522866,22.42258939,20.3991163,11.53068876,54.35239445,0,28.22343974,0,94.80547522,2
"47","Purdy, Burley Lagoon","13",47.386977,-122.6367089,0.701832278,-0.128284724,0.566813164,-0.024856434,-0.021712695,-0.129290868,0.024771621,-0.016851243,-0.036370436,-0.053109001,-0.03005786,0.020388883,1.452576648,1.282114799,2.734691447,0,1.005188726,0,6.606761951,1.227565735,7.834327687,1.394046151,0.72873434,2.509653142,4.632433633,1.425829061,28.09858805,1.605415019,44.60178218,3
"57","Purdy, Dexters","13",47.38566,-122.627255,1.121737643,-9.165059499,0.469442952,0.01369772,-0.051508264,-0.233008188,-0.001715314,-0.130645152,-0.108977657,-0.227428303,-0.175496394,-0.060440802,10.28679714,1.087366311,11.37416345,0,0.883347669,0,6.536343532,0.580263461,7.116606993,2.830861227,0.367244374,2.646113807,5.844219408,0,14.77604353,0,28.6202176,1
