"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
"pcb","3","ci2","a24",0.565934065934066,0.0437925922354547
"pcb","3","ci2","a55",0.576923076923077,0.0389926234324482
NA,NA,NA,NA,NA,NA
"pcb","3","ci3","a55",0.607978566908206,0.0274926043000392
NA,NA,NA,NA,NA,NA
"pcb","3","shell","a24",-0.571428571428571,0.0413422673717236
"pcb","3","shell","a40",-0.554945054945055,0.0490044955983309
"pcb","3","shell","a50",-0.587912087912088,0.0345860583421078
NA,NA,NA,NA,NA,NA
"pcb","4","p450","a131",0.591208791208791,0.0259708136689625
NA,NA,NA,NA,NA,NA
"pcb","4","sod","a47",-0.534065934065934,0.0491599163719849
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","4","ci2","a37",0.626373626373626,0.0165419354288712
"pcb","4","ci2","a50",0.556043956043956,0.0389436504186604
"pcb","4","ci2","a53",0.604395604395604,0.0220568617546162
"pcb","4","ci2","a60",0.582417582417582,0.0288546553576718
NA,NA,NA,NA,NA,NA
"pcb","4","ci3","a37",0.576457994591531,0.03094108047072
"pcb","4","ci3","a50",0.684268840908267,0.00694971473271999
"pcb","4","ci3","a51",0.600660429478961,0.0231170404807917
"pcb","4","ci3","a62",-0.605060872185767,0.0218719448377103
NA,NA,NA,NA,NA,NA
"pcb","4","shell","a104",0.5522555597041,0.0405818528918109
"pcb","4","shell","a119",0.605060872185767,0.0218719448377103
"pcb","4","shell","a57",-0.539054231583683,0.0466871979268229
"pcb","4","shell","a64",0.6314635284266,0.0154300027759906
"pcb","4","shell","a72",0.673267734141253,0.00830869257214184
"pcb","4","shell","a84",0.5522555597041,0.0405818528918109
"pcb","4","shell","a88",0.671067512787851,0.00860356002935103
NA,NA,NA,NA,NA,NA
"pcb","2","p450","a118",0.555882352941176,0.0253621763206078
"pcb","2","p450","a12",0.523529411764706,0.0374126481301493
"pcb","2","p450","a14",0.523529411764706,0.0374126481301493
"pcb","2","p450","a15",0.597058823529412,0.0146097319549812
"pcb","2","p450","a17",0.523529411764706,0.0374126481301493
"pcb","2","p450","a18",0.523529411764706,0.0374126481301493
"pcb","2","p450","a26",0.55,0.0272939727097306
"pcb","2","p450","a31",0.517647058823529,0.0400017929595606
"pcb","2","p450","a32",0.514705882352941,0.0413458064422492
"pcb","2","p450","a35",0.517647058823529,0.0400017929595606
"pcb","2","p450","a4",0.55,0.0272939727097306
"pcb","2","p450","a5",0.523529411764706,0.0374126481301493
"pcb","2","p450","a53",0.517647058823529,0.0400017929595606
"pcb","2","p450","a54",0.517647058823529,0.0400017929595606
"pcb","2","p450","a56",0.517647058823529,0.0400017929595606
"pcb","2","p450","a58",0.514705882352941,0.0413458064422492
"pcb","2","p450","a62",0.508823529411765,0.0441352182349839
"pcb","2","p450","a63",0.523529411764706,0.0374126481301493
"pcb","2","p450","a70",0.514705882352941,0.0413458064422492
"pcb","2","p450","a71",0.517647058823529,0.0400017929595606
"pcb","2","p450","a73",0.514705882352941,0.0413458064422492
"pcb","2","p450","a74",0.514705882352941,0.0413458064422492
"pcb","2","p450","a82",0.502941176470588,0.047063140467273
"pcb","2","p450","a92",0.502941176470588,0.047063140467273
NA,NA,NA,NA,NA,NA
"pcb","2","sod","a1",-0.502941176470588,0.047063140467273
"pcb","2","sod","a16",-0.588235294117647,0.016539722195378
"pcb","2","sod","a26",-0.505882352941176,0.0455816161239402
"pcb","2","sod","a3",-0.502941176470588,0.047063140467273
"pcb","2","sod","a4",-0.505882352941176,0.0455816161239402
"pcb","2","sod","a65",-0.502941176470588,0.047063140467273
"pcb","2","sod","a67",-0.502941176470588,0.047063140467273
"pcb","2","sod","a72",-0.570588235294118,0.0209906963682178
"pcb","2","sod","a76",-0.532352941176471,0.0337686229602348
NA,NA,NA,NA,NA,NA
"pcb","2","ci1","a103",0.527723249096953,0.0356454130259638
"pcb","2","ci1","a107",0.504071786952551,0.0464894434375833
"pcb","2","ci1","a109",0.507028219720602,0.0450139578850008
"pcb","2","ci1","a124",0.507028219720602,0.0450139578850008
"pcb","2","ci1","a125",-0.532157898249028,0.0338461450011351
"pcb","2","ci1","a16",0.563200442313554,0.0231072864498485
"pcb","2","ci1","a57",-0.499637137800476,0.0487699572689015
"pcb","2","ci1","a62",0.504071786952551,0.0464894434375833
NA,NA,NA,NA,NA,NA
"pcb","2","ci2","a22",0.555882352941176,0.0253621763206078
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","2","shell","a1",0.547058823529412,0.0283010872421088
"pcb","2","shell","a100",0.538235294117647,0.0314932282058384
"pcb","2","shell","a11",0.511764705882353,0.0427234481633318
"pcb","2","shell","a112",0.573529411764706,0.0201910380465231
"pcb","2","shell","a117",0.55,0.0272939727097306
"pcb","2","shell","a12",0.541176470588235,0.03040021888817
"pcb","2","shell","a13",0.538235294117647,0.0314932282058384
"pcb","2","shell","a14",0.541176470588235,0.03040021888817
"pcb","2","shell","a15",0.538235294117647,0.0314932282058384
"pcb","2","shell","a17",0.541176470588235,0.03040021888817
"pcb","2","shell","a18",0.541176470588235,0.03040021888817
"pcb","2","shell","a19",0.547058823529412,0.0283010872421088
"pcb","2","shell","a3",0.547058823529412,0.0283010872421088
"pcb","2","shell","a47",0.538235294117647,0.0314932282058384
"pcb","2","shell","a5",0.541176470588235,0.03040021888817
"pcb","2","shell","a63",0.541176470588235,0.03040021888817
"pcb","2","shell","a64",0.55,0.0272939727097306
"pcb","2","shell","a65",0.547058823529412,0.0283010872421088
"pcb","2","shell","a67",0.547058823529412,0.0283010872421088
"pcb","2","shell","a68",0.555882352941176,0.0253621763206078
"pcb","2","shell","a7",0.547058823529412,0.0283010872421088
"pcb","2","shell","a72",0.541176470588235,0.03040021888817
"pcb","2","shell","a83",0.544117647058823,0.0293363374813764
"pcb","2","shell","a87",0.529411764705882,0.0349520067895179
"pcb","2","shell","a89",0.620588235294118,0.0103135155496776
NA,NA,NA,NA,NA,NA
"pcb","5","p450","a125",-0.544117647058823,0.0293363374813764
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","5","ci1","a113",0.581738480676118,0.0180833382122738
"pcb","5","ci1","a115",0.571429191145149,0.0207596006828017
"pcb","5","ci1","a117",0.506627942664771,0.0452116495947386
"pcb","5","ci1","a119",0.57290194679243,0.0203596256704779
"pcb","5","ci1","a128",0.497791408781083,0.0497432661481942
"pcb","5","ci1","a86",0.500736920075646,0.0481967911865069
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
